Typ	Name	Webseite	Beschreibung	Telegram	Video
Suchen	Programmable Search Engine	https://programmablesearchengine.google.com/	Programmierbare Suchmaschine		
Suchen	brave	https://search.brave.com/	alternative Suchmaschine		
Suchen	Presearch	https://presearch.org/	alternative Suchmaschine		
Archive	Web Archive	https://web.archive.org/	Webarchiv		
Archive	Web Archive	https://archive.ph/	Webarchiv		
Werbung	The Best Adblocker Software for Android, iOS, PC and Mac	https://proprivacy.com/adblocker/comparison/best-ad-blockers	Werbeblocker		
Werbung	Bypass Paywalls Clean (Firefox)	https://addons.mozilla.org/en-US/firefox/addon/bypass-paywalls-clean/	Paywall umgehen		
Werbung	Bypass Paywalls Clean (Chrome)	https://gitlab.com/magnolia1234/bypass-paywalls-chrome-clean#bypass-paywalls-clean-for-chrome	Paywall umgehen		
Bilder	TinEye	https://tineye.com/	Reverse Image Search		
Crawler	Apache Nutch™	https://nutch.apache.org/	Web-Crawler		
Daten	Apache Solr™	https://solr.apache.org/	Solr is highly reliable, scalable and fault tolerant, providing distributed indexing, replication and load-balanced querying, automated failover and recovery, centralized configuration and more.		
Archive	Wayback Machine Downloader (gem)	https://github.com/hartator/wayback-machine-downloader	Download an entire website from the Internet Archive Wayback Machine		
Graph	Apache AGE (Incubating)	https://age.apache.org/	A Graph Extension for PostgreSQL		
Graph	AgensGraph	https://bitnine.net/	AgensGraph is a fast, reliable graph database management system with high relational compatibility.		
Crawler	Visual SEO Studio	https://visual-seo.com/	SEO Analysis Tool for Mac & Windows		
Suchen	lunrjs (js)	https://lunrjs.com/	Search for websites		
Graph	Memgraph	https://memgraph.com/	Memgraph lets you stream data from anywhere, build in-memory dynamic graphs, and deploy real-time applications with ease.		
Graph	Gephi	https://gephi.org/	Gephi is the leading visualization and exploration software for all kinds of graphs and networks.		
Graph	Communalytic	https://communalytic.com/	Communalytic is a computational social science research tool for studying online communities and discourse.		
Daten	OpenRefine	https://openrefine.org/	OpenRefine is a powerful tool for working with messy data: cleaning it; transforming it from one format into another; and extending it with web services and external data.		
Daten	Reconcile-csv (OpenRefine)	http://okfnlabs.org/reconcile-csv/	Joining datasets with fuzzy matching.		
Archive	Web Archives	https://github.com/dessant/web-archives	Web Archives is a browser extension that enables you to find archived and cached versions of web pages, and comes with support for more than 10 search engines.		
Messenger	Threema	https://threema.ch	Messenger mit Ende-zu-Ende-Verschlüsselung		
Messenger	Telegram	https://telegram.org/	Telegram ist eine Cloud-basierte mobile und Desktop-Messaging-App mit Schwerpunkt auf Sicherheit und Geschwindigkeit.		
Messenger	Signal	https://signal.org/	Messenger		
Graph	Netlytic	https://netlytic.org/	Netlytic is a cloud-based text and social networks analyzer that can automatically summarize textual data and discover communication networks from publicly accessible social media posts.		
Suchen	Open Semantic Search	https://opensemanticsearch.org/	Open-Source Search Engine with Apache Lucene / Solr		
Karten	umap	https://github.com/umap-project/umap	uMap lets you create maps with OpenStreetMap layers in a minute and embed them in your site		
Karten	leaflet	https://leafletjs.com/	Leaflet is the leading open-source JavaScript library for mobile-friendly interactive maps		
Karten	Leaflet Maps with Google Sheets	https://handsondataviz.org/leaflet-maps-with-google-sheets.html	Build your map based on our Leaflet Maps with Google Sheets		
Karten	OpenStreetMap Switzerland	https://www.osm.ch/	SOSM betreibt einen eigenen Dienst zum Rendering von Karten		
