Land	Typ	Name	Webseite	Beschreibung	Telegram	Video	Adresse
Schweiz	Kinderrechte	Lehrernetzwerk Schweiz	https://www.lehrernetzwerk-schweiz.ch/	Wir kämpfen! Für unsere Kinder! Viele Kinder leiden unter den Corona-Massnahmen, welche in der Schule gelten. Wir kämpfen dafür, dass ihre Grundrechte nicht verletzt werden und sie nicht diskriminiert werden, wenn sie sich gegen die Massnahmen wehren. Mit unserem Netzwerk! Mit unserem Netzwerk, das aus Pädagogen, Ärzten und Anwälten besteht, kämpfen wir für die Rechte	lehrernetzwerk_schweiz		5000 Aarau
Deutschland	Bildung	Wissen Schafft Freiheit	https://www.wissenschafftfreiheit.com/	Ricardo Leppe	WissenSchafftFreiheit	https://archive.org/details/stiftung_corona_ausschuss_sitzung_76	
Schweiz	Bildung	Die Akademie für kritische Wissenschaftskultur	http://akw-online.com	zertifikatsfreie Bildung			AkW Schweiz, Harfenbergstrasse 17, 9000 St. Gallen
Schweiz	Kinderrechte	Kinder atmen auf!	https://www.kinderatmenauf.ch/	Der Verein “Kinder atmen auf!” setzt sich dafür ein, dass Kinder in der Schweiz in einem Umfeld von Freiheit und Respekt, unter der Eigenverantwortung der Eltern/Erziehungsberechtigten, aufwachsen.entwickeln dürfen.	kinderatmenauf		
Schweiz	Kinderrechte	LernStatt Schule	https://www.lernstattschule.ch	Der Verein setzt sich insbesondere dafür ein, dass die verfassungsrechtlichen Freiheiten der Kinder und Eltern gewahrt und gefördert werden.			
Schweiz	Kinderrechte	familientaskforce	https://www.familientaskforce.ch	Eltern gegen Maskenpflicht und Massentest an Schulen - weil uns Kinder und ihre Zukunft wichtig sind.	familientaskforce		
Schweiz	Bildung	Zertifikatsfreie Bildung	https://www.zertifikatsfreie-bildung.ch/	Gemeinsam wollen wir Events planen, uns mit den Hochschulen in Kontakt setzen, anwaltliche Unterstützung miteinbeziehen, an Demos teilnehmen, Plakate und Flyer verteilen und dadurch unseren Standpunkt überall verbreiten.			
Schweiz	Kinderrechte	Eltern und Schule stehen auf Schweiz	https://elternundschulestehenauf.ch/	Mit unserem Verein wollen wir Eltern, Lehrpersonen und im Bildungswesen tätige Menschen die Möglichkeit geben, sich gezielt zu vernetzen und sich gegenseitig zu unterstützen.	elternundschulestehenaufschweiz,infokanaleus		
Schweiz	Homeschooling	WIR - Homeschooling - Schweiz		Dieser Kanal ist für Eltern und PädagogInnen, die konkret und konsequent Homeschoolinglösungen miteinander entwickeln und aufbauen wollen. Nutzt bereits vorhandene Erfahrungswerte und schliesst Euch zu Synergien zusammen!!	wirhomeschoolingschweiz		
Schweiz	Kinderrechte	Kinder- und Erwachsenenschutz-Vereinigung	http://www.kesv.ch/	Kinder- und Erwachsenenschutz-Vereinigung			5018 Erlinsbach
Schweiz	Kinderrechte	Hilfe bei Mobbing	https://www.hilfe-bei-mobbing.ch	Mobbing und Cybermobbing gemeinsam stoppen. Lassen Sie sich von unserer Fachstelle für Schulen und Eltern zeigen, wie wir Mobbing gemeinsam beenden können.			Hilfe bei Mobbing, Fachstelle für Schulen und Eltern, Pascal Kamber, Buzibachstrasse 12, 6023 Rothenburg
Schweiz	Bildung	FreilernOrte	https://freilernorte.ch/	Eine durchmischte Gruppe an liebevollen Müttern, Vätern, Partnern und Pädagogen sowie einiger Freiwilliger, welche die Vision eines potentialentfaltenden Lernumfeldes gemeinsam umsetzen möchten.			
Schweiz	Homeschooling	Bildung zu Hause Schweiz	https://www.bildungzuhause.ch/	Homeschooling oder Bildung zu Hause bedeutet, dass die Eltern die Verantwortung für die Bildung ihrer Kinder selber übernehmen, den Lehrplan 21 kennen und diesen individuell umsetzen. Zusammen mit den Kindern entdecken sie die Welt und wählen die Bildungsinhalte gemeinsam aus.			Bildung zu Hause Schweiz, CH-3000 Bern
Schweiz	Bildung	Future-of-School	https://www.future-of-school.ch/	Onlineschule			
