from,to,title,group,value
2,1,ScienceFiles,DE,2
3,1,ScienceFiles,2021,2
2,4,ScienceFiles,DE,2
3,4,ScienceFiles,2021,2
6,5,tp - Science & Technology,AT,2
3,5,tp - Science & Technology,2021,2
8,7,RT DE,DK,2
3,7,RT DE,2021,2
10,9,Wochenblick,NL,2
11,9,Wochenblick,2020,2
13,12,Achgut.com,US,2
3,12,Achgut.com,2021,2
2,14,RT DE,DE,2
3,14,RT DE,2021,2
2,15,Rubikon,DE,2
3,15,Rubikon,2021,2
6,16,Wochenblick,AT,2
3,16,Wochenblick,2021,2
2,17,Epoch Times,DE,2
3,17,Epoch Times,2021,2
13,18,Achgut.com,US,2
3,18,Achgut.com,2021,2
2,19,Rubikon,DE,2
3,19,Rubikon,2021,2
21,20,Tagesanzeiger,CH,2
3,20,Tagesanzeiger,2021,2
23,22,Naturstoff Medizin,BE,2
11,22,Naturstoff Medizin,2020,2
21,24,Die Ostschweiz,CH,2
11,24,Die Ostschweiz,2020,2
21,25,Die Ostschweiz,CH,2
3,25,Die Ostschweiz,2021,2
2,26,NachDenkSeiten,DE,2
3,26,NachDenkSeiten,2021,2
6,27,tp - Science & Technology,AT,2
3,27,tp - Science & Technology,2021,2
21,28,Die Ostschweiz,CH,2
3,28,Die Ostschweiz,2021,2
21,29,Die Ostschweiz,CH,2
3,29,Die Ostschweiz,2021,2
2,30,RT DE,DE,2
3,30,RT DE,2021,2
6,31,Wochenblick,AT,2
11,31,Wochenblick,2020,2
21,32,Corona Transition,CH,2
3,32,Corona Transition,2021,2
2,33,multipolar,DE,2
3,33,multipolar,2021,2
6,34,Report24,AT,2
3,34,Report24,2021,2
21,35,medinside.ch,CH,2
3,35,medinside.ch,2021,2
21,36,Die Ostschweiz,CH,2
3,36,Die Ostschweiz,2021,2
21,37,NZZ,CH,2
3,37,NZZ,2021,2
21,38,Corona Transition,CH,2
3,38,Corona Transition,2021,2
2,39,reitschuster,DE,2
3,39,reitschuster,2021,2
2,40,Hessisches Ärzteblatt,DE,2
11,40,Hessisches Ärzteblatt,2020,2
6,41,ServusTV,AT,2
3,41,ServusTV,2021,2
21,42,Die Ostschweiz,CH,2
3,42,Die Ostschweiz,2021,2
2,43,Tichys Einblick,DE,2
3,43,Tichys Einblick,2021,2
6,44,AUF1.TV,AT,2
3,44,AUF1.TV,2021,2
2,45,Rubikon,DE,2
3,45,Rubikon,2021,2
13,46,RT DE,US,2
3,46,RT DE,2021,2
21,47,Corona Transition,CH,2
3,47,Corona Transition,2021,2
6,48,meinbezirk.at,AT,2
11,48,meinbezirk.at,2020,2
21,49,NZZ,CH,2
3,49,NZZ,2021,2
6,50,tp - Science & Technology,AT,2
3,50,tp - Science & Technology,2021,2
2,51,cochrane,DE,2
3,51,cochrane,2021,2
53,52,RT DE,JP,2
11,52,RT DE,2020,2
2,54,reitschuster,DE,2
3,54,reitschuster,2021,2
2,55,reitschuster,DE,2
11,55,reitschuster,2020,2
2,56,ResearchGate,DE,2
3,56,ResearchGate,2021,2
2,57,Die Welt,DE,2
11,57,Die Welt,2020,2
2,58,multipolar,DE,2
3,58,multipolar,2021,2
60,59,tp - Science & Technology,UK,2
3,59,tp - Science & Technology,2021,2
62,61,Epoch Times,IL,2
3,61,Epoch Times,2021,2
2,63,RT DE,DE,2
3,63,RT DE,2021,2
21,64,Ktipp,CH,2
11,64,Ktipp,2020,2
21,65,INFOsperber,CH,2
11,65,INFOsperber,2020,2
21,66,In$ide Paradeplatz,CH,2
11,66,In$ide Paradeplatz,2020,2
2,67,2020 News,DE,2
3,67,2020 News,2021,2
69,68,Wochenblick,false,2
3,68,Wochenblick,2021,2
2,70,ScienceFiles,DE,2
3,70,ScienceFiles,2021,2
21,71,persoenlich.com,CH,2
3,71,persoenlich.com,2021,2
62,72,Wochenblick,IL,2
3,72,Wochenblick,2021,2
2,73,Epoch Times,DE,2
3,73,Epoch Times,2021,2
2,74,Focus Online,DE,2
3,74,Focus Online,2021,2
76,75,substack.com,COM,2
3,75,substack.com,2021,2
2,77,RT DE,DE,2
3,77,RT DE,2021,2
6,78,Wochenblick,AT,2
3,78,Wochenblick,2021,2
6,79,Report24,AT,2
3,79,Report24,2021,2
2,80,Telepolis,DE,2
11,80,Telepolis,2020,2
6,81,Report24,AT,2
3,81,Report24,2021,2
76,82,substack.com,COM,2
3,82,substack.com,2021,2
84,83,tp - Science & Technology,SE,2
3,83,tp - Science & Technology,2021,2
13,85,Youtube,US,2
11,85,Youtube,2020,2
2,86,Telepolis,DE,2
11,86,Telepolis,2020,2
21,87,NZZ,CH,2
3,87,NZZ,2021,2
6,88,tp - Science & Technology,AT,2
3,88,tp - Science & Technology,2021,2
2,89,Berliner Zeitung,DE,2
3,89,Berliner Zeitung,2021,2
2,90,Focus Online,DE,2
3,90,Focus Online,2021,2
21,91,Corona Transition,CH,2
3,91,Corona Transition,2021,2
6,92,Report24,AT,2
3,92,Report24,2021,2
2,93,Tichys Einblick,DE,2
3,93,Tichys Einblick,2021,2
21,94,In$ide Paradeplatz,CH,2
11,94,In$ide Paradeplatz,2020,2
2,95,Epoch Times,DE,2
3,95,Epoch Times,2021,2
21,96,INFOsperber,CH,2
11,96,INFOsperber,2020,2
21,97,Corona Transition,CH,2
3,97,Corona Transition,2021,2
6,98,tp - Science & Technology,AT,2
3,98,tp - Science & Technology,2021,2
2,99,reitschuster,DE,2
3,99,reitschuster,2021,2
101,100,Unser Mitteleuropa,EU,2
3,100,Unser Mitteleuropa,2021,2
2,102,2020 News,DE,2
3,102,2020 News,2021,2
21,103,NZZ,CH,2
11,103,NZZ,2020,2
6,104,tp - Science & Technology,AT,2
3,104,tp - Science & Technology,2021,2
2,105,Epoch Times,DE,2
3,105,Epoch Times,2021,2
2,106,Tichys Einblick,DE,2
3,106,Tichys Einblick,2021,2
2,107,Epoch Times,DE,2
3,107,Epoch Times,2021,2
2,108,reitschuster,DE,2
3,108,reitschuster,2021,2
21,109,Die Ostschweiz,CH,2
11,109,Die Ostschweiz,2020,2
21,110,linth24,CH,2
11,110,linth24,2020,2
2,111,Deutsche Apotheker Zeitung,DE,2
11,111,Deutsche Apotheker Zeitung,2020,2
21,112,INFOsperber,CH,2
3,112,INFOsperber,2021,2
2,113,Rubikon,DE,2
3,113,Rubikon,2021,2
115,114,Report24,PT,2
3,114,Report24,2021,2
2,116,reitschuster,DE,2
3,116,reitschuster,2021,2
6,117,Wochenblick,AT,2
3,117,Wochenblick,2021,2
6,118,Wochenblick,AT,2
3,118,Wochenblick,2021,2
6,119,Wochenblick,AT,2
3,119,Wochenblick,2021,2
6,120,Wochenblick,AT,2
3,120,Wochenblick,2021,2
6,121,Wochenblick,AT,2
3,121,Wochenblick,2021,2
2,122,Epoch Times,DE,2
3,122,Epoch Times,2021,2
2,123,Nordkurier,DE,2
3,123,Nordkurier,2021,2
21,124,linth24,CH,2
11,124,linth24,2020,2
21,125,Schweizer Ärztezeitung,CH,2
11,125,Schweizer Ärztezeitung,2020,2
6,126,Wochenblick,AT,2
3,126,Wochenblick,2021,2
62,127,Report24,IL,2
3,127,Report24,2021,2
21,128,Ktipp,CH,2
3,128,Ktipp,2021,2
130,129,PNAS,ORG,2
3,129,PNAS,2021,2
2,131,NachDenkSeiten,DE,2
3,131,NachDenkSeiten,2021,2
2,132,Focus Online,DE,2
3,132,Focus Online,2021,2
21,133,Corona Transition,CH,2
3,133,Corona Transition,2021,2
76,134,substack.com,COM,2
11,134,substack.com,2020,2
21,135,Weltwoche daily,CH,2
11,135,Weltwoche daily,2020,2
21,136,INFOsperber,CH,2
3,136,INFOsperber,2021,2
2,137,ScienceFiles,DE,2
3,137,ScienceFiles,2021,2
6,138,Wochenblick,AT,2
3,138,Wochenblick,2021,2
6,139,Wochenblick,AT,2
3,139,Wochenblick,2021,2
21,140,Corona Transition,CH,2
