"id","title","value","link","group"
"1","Erste vollständige Impffolgen-Zusammenstellung: >2.500 Tote nach Impfung mit BNT162b2/Comirnaty: Nebenwirkungen füllen 124 Seiten !","1","https://sciencefiles.org/2021/03/27/erste-vollstandige-impffolgen-zusammenstellung-2-500-tote-nach-impfung-mit-bnt162b2-comirnaty-nebenwirkungen-fullen-124-seiten/","ScienceFiles"
"2","Impfung","723","","Impfung"
"3","mit oder an impfung gestorben","211","","mit oder an impfung gestorben"
"4","impf-nebenwirkungen","240","","impf-nebenwirkungen"
"5","10.000e Tote als Übersterblichkeit infolge von Impfung? Ergebnisse für das UK legen Möglichkeit nahe [HART-Studie 2]","1","https://sciencefiles.org/2021/03/25/10-000e-tote-als-ubersterblichkeit-infolge-von-impfung-ergebnisse-fur-das-uk-legen-moglichkeit-nahe-hart-studie-2/","ScienceFiles"
"6","Studie","121","","Studie"
"7","sterblichkeit","66","","sterblichkeit"
"8","lockdown","96","","lockdown"
"9","WHO-Inspektor sprach über frühere Coronavirus-Manipulationen in Wuhan","1","https://tkp.at/2021/01/19/who-inspektor-sprach-ueber-fruehere-coronavirus-manipulationen-in-wuhan/","tp - Science & Technology"
"10","Wissenschaft","223","","Wissenschaft"
"11","who","54","","who"
"12","virus-ursprung","28","","virus-ursprung"
"13","wuhan","14","","wuhan"
"14","Dänemark: Dutzende Betroffene fordern Schadenersatz wegen Nebenwirkungen nach Corona-Impfung","1","https://de.rt.com/europa/116027-danemark-37-menschen-fordern-schadenersatz/","RT DE"
"15","Recht","259","","Recht"
"16","AstraZeneca: Gefährliche Nebenwirkung viel häufiger als angenommen","1","https://de.rt.com/meinung/116950-astrazeneca-gefaehrliche-nebenwirkung-viel-haeufiger-als-angenommen/","RT DE"
"17","blutgerinnungsstörungen","52","","blutgerinnungsstörungen"
"18","astrazeneca","85","","astrazeneca"
"19","pei","24","","pei"
"20","Triumph der Irrationalität","1","https://www.rubikon.news/artikel/triumph-der-irrationalitat","Rubikon"
"21","Mensch","149","","Mensch"
"22","manipulation","260","","manipulation"
"23","Bis über 98 Prozent aller Schnell-Testergebnisse falsch-positiv","1","https://www.epochtimes.de/meinung/analyse/rki-infografik-nur-einer-von-50-positiv-getesteten-tatsaechlich-infiziert-a3470688.html","Epoch Times"
"24","Zahlen","247","","Zahlen"
"25","rki","32","","rki"
"26","massentest","40","","massentest"
"27","USA macht sich frei: Masken in 24 Staaten weg, Paniker verzweifelt","1","https://www.achgut.com/artikel/usa_macht_sich_frei_masken_weg_paniker_verzweifelt","Achgut.com"
"28","maske","130","","maske"
"29","massnahmen","149","","massnahmen"
"30","Die Schein-Coronatoten","1","https://www.rubikon.news/artikel/die-schein-coronatoten-2","Rubikon"
"31","Wegen Corona-Impfung – Entwickelt sich Covid-19 zur gewöhnlichen Erkältung?","1","https://www.tagesanzeiger.ch/entwickelt-sich-die-pandemie-zur-gewoehnlichen-erkaeltung-742316167267","Tagesanzeiger"
"32","immunität","75","","immunität"
"33","Lieber Herr Berset, pardon, aber ich glaube Ihnen kein Wort","1","https://www.dieostschweiz.ch/artikel/lieber-herr-berset-pardon-aber-ich-glaube-ihnen-kein-wort-XNdoPyA","Die Ostschweiz"
"34","Politik","252","","Politik"
"35","bundesrat","85","","bundesrat"
"36","„Aus rein wissenschaftlicher Sicht“ – Christian Drosten im Tagesthemen-Interview","1","https://www.nachdenkseiten.de/?p=69219","NachDenkSeiten"
"37","Schädigung der Zellen durch geplante Verteilung der mRNA Impfstoffe im Körper","1","https://tkp.at/2021/06/07/schaedigung-der-zellen-durch-geplante-verteilung-der-mrna-impfstoffe-im-koerper/","tp - Science & Technology"
"38","biontech","90","","biontech"
"39","«Kennen Sie denn niemanden, der schwer an Corona erkrankt ist?»","1","https://www.dieostschweiz.ch/artikel/kennen-sie-denn-niemanden-der-schwer-an-corona-erkrankt-ist-YrmNKKl","Die Ostschweiz"
"40","Widerstand","307","","Widerstand"
"41","kollateralschäden","78","","kollateralschäden"
"42","Zwei Regionen geben Anlass zur Hoffnung – die Ostschweiz inklusive","1","https://www.dieostschweiz.ch/artikel/zwei-regionen-geben-anlass-zur-hoffnung-die-ostschweiz-inklusive-4Yz9lX9","Die Ostschweiz"
"43","covid-19-gesetz","18","","covid-19-gesetz"
"44","Wien: Corona-Testergebnisse von 62 Kindern einer Volksschule waren falsch","1","https://de.rt.com/europa/114859-wien-falsche-positive-corona-testergebnisse/","RT DE"
"45","Der Gipfel der Hypokrisie","1","https://corona-transition.org/der-gipfel-der-hypokrisie","Corona Transition"
"46","geld","38","","geld"
"47","Big Pictures","1","https://multipolar-magazin.de/artikel/big-pictures","multipolar"
"48","P(l)andemie","15","","P(l)andemie"
"49","event 201","2","","event 201"
"50","Fliegt alles auf? Nerven liegen blank, Drosten wird ausfällig","1","https://report24.news/fliegt-alles-auf-nerven-liegen-blank-drosten-wird-ausfaellig/","Report24"
"51","dialog","11","","dialog"
"52","Impfung für Kinder: So unwissenschaftlich ist die «Grundlage»","1","https://www.medinside.ch/de/post/impfung-fuer-kinder-so-unwissenschaftlich-ist-die-grundlage","medinside.ch"
"53","Medizin","169","","Medizin"
"54","kind","248","","kind"
"55","jugend","61","","jugend"
"56","Als der Vergleich mit der Grippe noch statthaft war","1","https://www.dieostschweiz.ch/artikel/als-der-vergleich-mit-der-grippe-noch-statthaft-war-OQo959y","Die Ostschweiz"
"57","Maskenpflicht: Einige Zürcher Eltern wechseln auf Home Schooling","1","https://www.nzz.ch/zuerich/wegen-maskenpflicht-fuer-schueler-in-mehreren-zuercher-gemeinden-wechseln-eltern-auf-privatunterricht-ld.1599070","NZZ"
"58","Schule","77","","Schule"
"59","Über 160 Experten prangern Covid-Impfstoffe in einem eindringlichen Brief als «unnötig, unwirksam und unsicher» an","1","https://corona-transition.org/uber-160-experten-prangern-covid-impfstoffe-in-einem-eindringlichen-brief-als","Corona Transition"
"60","impf-stopp","38","","impf-stopp"
"61","Kollateralschäden der Corona-Impfungen: verstörende Erfahrungsberichte","1","https://reitschuster.de/post/kollateralschaeden-der-corona-impfungen-verstoerende-erfahrungsberichte/","reitschuster"
"62","Privilegien oder Grundrechte?","1","https://www.dieostschweiz.ch/artikel/privilegien-oder-grundrechte-OQoKr5O","Die Ostschweiz"
"63","grundrechte","37","","grundrechte"
"64","impfzwang","47","","impfzwang"
"65","Streit um PCR-Test: Drosten soll vor Gericht ein weiteres Gutachten einreichen","1","https://www.tichyseinblick.de/daili-es-sentials/streit-um-pcr-test-drosten-soll-vor-gericht-ein-weiteres-gutachten-einreichen/","Tichys Einblick"
"66","pcr-test","65","","pcr-test"
"67","Das Phantom-Virus","1","https://www.rubikon.news/artikel/das-phantom-virus","Rubikon"
"68","virus-mutation","53","","virus-mutation"
"69","virus-isolation","3","","virus-isolation"
"70","USA: Über 30 Bundesstaaten schaffen Maskenpflicht ab","1","https://de.rt.com/nordamerika/118210-usa-uber-30-bundesstaaten-schaffen/","RT DE"
"71","Privilegien für Geimpfte? Bundesrat steht vor heiklem Entscheid","1","https://www.nzz.ch/schweiz/privilegien-fuer-geimpfte-bundesrat-steht-vor-heiklem-entscheid-ld.1602398","NZZ"
"72","Erschreckend: so schaden die Corona Maßnahmen – 16% der Kinder mit suizidalen Gedanken","1","https://tkp.at/2021/03/07/erschreckend-so-schaden-die-corona-massnahmen-16-der-kinder-mit-suizidalen-gedanken/","tp - Science & Technology"
"73","Aktualisierter Cochrane Review bewertet Zuverlässigkeit von Schnelltests zum Nachweis von COVID-19","1","https://www.cochrane.de/de/news/aktualisierter-cochrane-review-bewertet-zuverl%C3%A4ssigkeit-von-schnelltests-zum-nachweis-von-covid","cochrane"
"74","cochrane","1","","cochrane"
"75","schnelltest","16","","schnelltest"
"76","„Bis zu 85 Prozent der Covid-Todesfälle hätten verhindert werden können“","1","https://reitschuster.de/post/bis-zu-85-prozent-der-covid-todesfaelle-haetten-verhindert-werden-koennen/","reitschuster"
"77","Gesundheit","70","","Gesundheit"
"78","therapeutikum","10","","therapeutikum"
"79","Studie zum Ursprung der Coronavirus-Pandemie","1","","ResearchGate"
"80","researchgate","1","","researchgate"
"81","Die ""dritte Welle"": Virusmutation oder verschwiegenes Impfrisiko?","1","https://multipolar-magazin.de/artikel/die-dritte-welle-impfrisiko","multipolar"
"82","welle3","3","","welle3"
"83","Immer wieder Berichte über Todesfälle in Heimen nach Impfung – Offizielle sehen keinen Zusammenhang","1","https://de.rt.com/inland/112776-immer-wieder-berichte-ueber-todesfalle-in-heimen-nach-impfung/","RT DE"
"84","Schulen ohne Not geschlossen?","1","https://2020news.de/schulen-ohne-not-geschlossen/","2020 News"
"85","Norwegen: Zwei Todesfälle in Pflegeheim nach Covid-Impfung","1","https://www.wochenblick.at/norwegen-zwei-todesfaelle-in-pflegeheim-nach-covid-impfung/","Wochenblick"
"86","Mehr Selbstmorde wegen COVID-19-Maßnahmen! Die Zahl der Studien, die das belegen, wächst","1","https://sciencefiles.org/2021/02/07/mehr-selbstmorde-wegen-covid-19-masnahmen-die-zahl-der-studien-die-das-belegen-wachst/","ScienceFiles"
"87","Serie zum Coronavirus: «Was auffällt, die Masken sind auf dem Rückzug»","1","https://www.persoenlich.com/medien/was-auffallt-die-masken-sind-auf-dem-ruckzug","persoenlich.com"
"88","Überraschung für Israel: Trotz Impfung Corona-Positive und vier Todesfälle","1","https://www.wochenblick.at/ueberraschung-fuer-israel-trotz-impfung-corona-positive-und-vier-todesfaelle/","Wochenblick"
"89","Viele Hinweise auf menschliche Manipulation an SARS-CoV2 – Dr. Johanna Deinert im Exklusiv-Interview","1","https://www.epochtimes.de/politik/ausland/viele-hinweise-auf-menschliche-manipulation-an-sars-cov2-dr-johanna-deinert-im-interview-a3535426.html","Epoch Times"
"90","Deutscher Mediziner entwickelt Corona-Antigen - und wird vom Staat angezeigt","1","https://www.focus.de/gesundheit/coronavirus/winfried-stoecker-deutscher-mediziner-entwickelt-wirksames-corona-antigen-und-wird-vom-staat-angezeigt_id_13053814.html","Focus Online"
"91","Im Maschinenraum der Wahrheit","1","https://miloszmatuschek.substack.com/p/maschinenraum","substack.com"
"92","Mathematik-Student rechnet nach: Zusätzliche Tests treiben Inzidenzen künstlich in die Höhe","1","https://de.rt.com/inland/114577-mathematik-student-rechnet-nach-zusatzliche/","RT DE"
