"id","title","value","link","group"
"1","Erste vollständige Impffolgen-Zusammenstellung: >2.500 Tote nach Impfung mit BNT162b2/Comirnaty: Nebenwirkungen füllen 124 Seiten !","1","https://sciencefiles.org/2021/03/27/erste-vollstandige-impffolgen-zusammenstellung-2-500-tote-nach-impfung-mit-bnt162b2-comirnaty-nebenwirkungen-fullen-124-seiten/","ScienceFiles"
"2","Impfung","1051","","Impfung"
"3","mit oder an impfung gestorben","277","","mit oder an impfung gestorben"
"4","impf-nebenwirkungen","333","","impf-nebenwirkungen"
"5","10.000e Tote als Übersterblichkeit infolge von Impfung? Ergebnisse für das UK legen Möglichkeit nahe [HART-Studie 2]","1","https://sciencefiles.org/2021/03/25/10-000e-tote-als-ubersterblichkeit-infolge-von-impfung-ergebnisse-fur-das-uk-legen-moglichkeit-nahe-hart-studie-2/","ScienceFiles"
"6","Studie","192","","Studie"
"7","sterblichkeit","115","","sterblichkeit"
"8","lockdown","120","","lockdown"
"9","WHO-Inspektor sprach über frühere Coronavirus-Manipulationen in Wuhan","1","https://tkp.at/2021/01/19/who-inspektor-sprach-ueber-fruehere-coronavirus-manipulationen-in-wuhan/","tp - Science & Technology"
"10","Wissenschaft","362","","Wissenschaft"
"11","who","104","","who"
"12","virus-ursprung","43","","virus-ursprung"
"13","wuhan","33","","wuhan"
"14","Dänemark: Dutzende Betroffene fordern Schadenersatz wegen Nebenwirkungen nach Corona-Impfung","1","https://de.rt.com/europa/116027-danemark-37-menschen-fordern-schadenersatz/","RT DE"
"15","Recht","342","","Recht"
"16","Über Nacht: Niederlande verhängen totalen Lockdown bis 19. Jänner","1","https://www.wochenblick.at/ueber-nacht-niederlande-verhaengen-totalen-lockdown-bis-19-jaenner/","Wochenblick"
"17","Politik","371","","Politik"
"18","lockdown2","18","","lockdown2"
"19","willkür","70","","willkür"
"20","Impfrisiken bei Schwangeren besser evaluieren","1","https://www.achgut.com/artikel/mehr_fehlgeburten_durch_die_impfung","Achgut.com"
"21","Gesundheit","128","","Gesundheit"
"22","kind","334","","kind"
"23","AstraZeneca: Gefährliche Nebenwirkung viel häufiger als angenommen","1","https://de.rt.com/meinung/116950-astrazeneca-gefaehrliche-nebenwirkung-viel-haeufiger-als-angenommen/","RT DE"
"24","blutgerinnungsstörungen","56","","blutgerinnungsstörungen"
"25","astrazeneca","94","","astrazeneca"
"26","pei","28","","pei"
"27","Triumph der Irrationalität","1","https://www.rubikon.news/artikel/triumph-der-irrationalitat","Rubikon"
"28","Mensch","230","","Mensch"
"29","manipulation","408","","manipulation"
"30","Brodeln im System: Staatsausgaben und Staatsschulden explodieren","1","https://www.wochenblick.at/brodeln-im-system-staatsausgaben-und-staatsschulden-explodieren/","Wochenblick"
"31","Wirtschaft","58","","Wirtschaft"
"32","geld","77","","geld"
"33","Bis über 98 Prozent aller Schnell-Testergebnisse falsch-positiv","1","https://www.epochtimes.de/meinung/analyse/rki-infografik-nur-einer-von-50-positiv-getesteten-tatsaechlich-infiziert-a3470688.html","Epoch Times"
"34","Zahlen","423","","Zahlen"
"35","rki","45","","rki"
"36","massentest","49","","massentest"
"37","USA macht sich frei: Masken in 24 Staaten weg, Paniker verzweifelt","1","https://www.achgut.com/artikel/usa_macht_sich_frei_masken_weg_paniker_verzweifelt","Achgut.com"
"38","maske","194","","maske"
"39","massnahmen","255","","massnahmen"
"40","Daten zeigen: Schutz durch Immunität nach natürlicher Infektion vielfach besser als nach Impfung","1","https://tkp.at/2021/08/17/daten-zeigen-schutz-durch-immunitaet-nach-natuerlicher-infektion-vielfach-besser-als-nach-impfung/","tp - Science & Technology"
"41","immunität","129","","immunität"
"42","Die Schein-Coronatoten","1","https://www.rubikon.news/artikel/die-schein-coronatoten-2","Rubikon"
"43","Wegen Corona-Impfung – Entwickelt sich Covid-19 zur gewöhnlichen Erkältung?","1","https://www.tagesanzeiger.ch/entwickelt-sich-die-pandemie-zur-gewoehnlichen-erkaeltung-742316167267","Tagesanzeiger"
"44","Offener Brief von Ärzten und Gesundheitsfachleuten an alle belgischen Behörden und Medien","1","https://www.naturstoff-medizin.de/artikel/offener-brief-von-aerzten-und-gesundheitsfachleuten-an-alle-belgischen-behoerden-und-medien/","Naturstoff Medizin"
"45","Medizin","278","","Medizin"
"46","Widerstand","412","","Widerstand"
"47","zensur","39","","zensur"
"48","kollateralschäden","104","","kollateralschäden"
"49","Der Hass auf die Gesunden","1","https://www.dieostschweiz.ch/artikel/der-hass-auf-die-gesunden-7ovyrrl","Die Ostschweiz"
"50","dialog","26","","dialog"
"51","Lieber Herr Berset, pardon, aber ich glaube Ihnen kein Wort","1","https://www.dieostschweiz.ch/artikel/lieber-herr-berset-pardon-aber-ich-glaube-ihnen-kein-wort-XNdoPyA","Die Ostschweiz"
"52","bundesrat","125","","bundesrat"
"53","„Aus rein wissenschaftlicher Sicht“ – Christian Drosten im Tagesthemen-Interview","1","https://www.nachdenkseiten.de/?p=69219","NachDenkSeiten"
"54","Schädigung der Zellen durch geplante Verteilung der mRNA Impfstoffe im Körper","1","https://tkp.at/2021/06/07/schaedigung-der-zellen-durch-geplante-verteilung-der-mrna-impfstoffe-im-koerper/","tp - Science & Technology"
"55","biontech","127","","biontech"
"56","«Kennen Sie denn niemanden, der schwer an Corona erkrankt ist?»","1","https://www.dieostschweiz.ch/artikel/kennen-sie-denn-niemanden-der-schwer-an-corona-erkrankt-ist-YrmNKKl","Die Ostschweiz"
"57","Zwei Regionen geben Anlass zur Hoffnung – die Ostschweiz inklusive","1","https://www.dieostschweiz.ch/artikel/zwei-regionen-geben-anlass-zur-hoffnung-die-ostschweiz-inklusive-4Yz9lX9","Die Ostschweiz"
"58","covid-19-gesetz","25","","covid-19-gesetz"
"59","Wien: Corona-Testergebnisse von 62 Kindern einer Volksschule waren falsch","1","https://de.rt.com/europa/114859-wien-falsche-positive-corona-testergebnisse/","RT DE"
"60","Pfizer-Vize bekräftigt: PCR-Test alleine sagt nichts über Infektion aus","1","https://www.wochenblick.at/pfizer-vize-bekraeftigt-pcr-test-alleine-sagt-nichts-ueber-infektion-aus/","Wochenblick"
"61","pcr-test","142","","pcr-test"
"62","infektion","43","","infektion"
"63","Gastronomie nur noch mit Zertifikat: Wir zerlegen eine Warnung in Einzelteile","1","https://www.dieostschweiz.ch/artikel/gastronomie-nur-noch-mit-zertifikat-wir-zerlegen-eine-warnung-in-einzelteile-AWXpqqz","Die Ostschweiz"
"64","impfpass","35","","impfpass"
"65","st.gallen","5","","st.gallen"
"66","Der Gipfel der Hypokrisie","1","https://corona-transition.org/der-gipfel-der-hypokrisie","Corona Transition"
"67","Big Pictures","1","https://multipolar-magazin.de/artikel/big-pictures","multipolar"
"68","P(l)andemie","59","","P(l)andemie"
"69","event 201","11","","event 201"
"70","Fliegt alles auf? Nerven liegen blank, Drosten wird ausfällig","1","https://report24.news/fliegt-alles-auf-nerven-liegen-blank-drosten-wird-ausfaellig/","Report24"
"71","Impfung für Kinder: So unwissenschaftlich ist die «Grundlage»","1","https://www.medinside.ch/de/post/impfung-fuer-kinder-so-unwissenschaftlich-ist-die-grundlage","medinside.ch"
"72","jugend","96","","jugend"
