source,target,current,group,link
0,26,"1","Partner",""
0,22,"1","Partner",""
2,25,"1","Geld",""
2,26,"1","Geld",""
2,3,"1","Eigentümer",""
2,17,"1","Eigentümer",""
2,9,"1","Veranstalter",""
2,15,"1","Geld",""
2,8,"1","Geld",""
2,28,"1","Geld",""
2,6,"1","Vorstand",""
2,10,"1","Geld",""
2,7,"1","Geld",""
2,0,"1","Geld",""
4,5,"1","kontrolliert",""
4,28,"1","kontrolliert",""
4,27,"1","kontrolliert",""
4,10,"1","Geld",""
5,11,"1","Vorstand",""
7,2,"1","Mitglied",""
7,25,"1","Mitglied",""
7,26,"1","Mitglied",""
7,14,"1","Mitglied",""
8,27,"1","Geld",""
9,11,"1","Teilnehmer",""
9,18,"1","Teilnehmer",""
9,6,"1","Teilnehmer",""
9,14,"1","Teilnehmer",""
10,2,"1","Mitglied",""
10,25,"1","Mitglied",""
10,24,"1","Mitglied",""
12,6,"1","Mitglied",""
12,11,"1","Mitglied",""
12,1,"1","Mitglied",""
13,10,"1","Mitglied","https://id2020.org/alliance#partners"
13,21,"1","Mitglied","https://id2020.org/alliance#partners"
13,19,"1","Mitglied","https://id2020.org/alliance#partners"
15,9,"1","Veranstalter",""
19,3,"0","Vorstand",""
21,15,"1","Geld",""
21,0,"1","Geld",""
22,25,"1","kontrolliert",""
23,20,"1","Teilnehmer",""
23,16,"1","Teilnehmer",""
24,12,"1","kontrolliert",""
25,20,"1","Vorstand",""
25,18,"1","Vorstand",""
25,12,"1","kontrolliert",""
25,24,"1","kontrolliert",""
26,23,"1","Veranstalter",""
26,29,"1","Eigentümer",""
26,9,"1","Veranstalter",""
26,16,"1","Vorstand",""
