title,id,image,group,link
"2030 Agenda",0,"agenda2030.png","blueprint","https://sdgs.un.org/"
"Anthony S. Fauci",1,"afauci.jpg","person","/persons.html#Fauci%20Anthony"
"Bill and Melinda Gates Foundation",2,"BMG.webp","org","https://www.gatesfoundation.org/"
"Bill Gates",3,"bgates.jpg","person","/persons.html#Gates%20Bill"
"China",4,"china.png","country",""
"Chinese Center for Disease Control and Prevention",5,"CCDC.jpg","org","http://www.chinacdc.cn/en/"
"Christopher Elias",6,"celias.jpg","person","https://www.gatesfoundation.org/about/leadership/christopher-elias"
"Coalition for Epidemic Preparedness Innovations",7,"CEPI.jpg","medorg","https://cepi.net/"
"EcoHealth Alliance",8,"ecohealth.jpg","org","https://www.ecohealthalliance.org/"
"Event 201",9,"event-201.jpg","event","/timeline/plandemie.html#event-event-201-model"
"Gavi",10,"gavi.png","medorg","https://www.gavi.org/"
"George F. Gao",11,"ggao.jpg","person","https://en.wikipedia.org/wiki/George_F._Gao"
"Global Preparedness Monitoring Board",12,"GPMB.png","org","https://apps.who.int/gpmb/"
"ID2020",13,"ID2020.png","org","https://id2020.org/"
"Jane Halton",14,"jhalton.jpg","person","https://en.wikipedia.org/wiki/Jane_Halton"
"Johns Hopkins Center for Health Security",15,"hopkins.png","edu","https://www.centerforhealthsecurity.org/"
"Klaus Martin Schwab",16,"kschwab.jpg","person","https://www.weforum.org/about/klaus-schwab"
"Melinda Gates",17,"mgates.jpg","person","https://www.gatesfoundation.org/about/leadership/melinda-gates"
"Michael J. Ryan",18,"mryan.jpg","person","https://en.wikipedia.org/wiki/Michael_J._Ryan_(doctor)"
"Microsoft",19,"microsoft.png","com","https://www.microsoft.com/en-us/"
"Tedros Adhanom Ghebreyesus",20,"ghebreyesus.jpg","person","https://www.who.int/director-general/biography"
"The Rockefeller Foundation",21,"rockefeller.png","org","https://www.rockefellerfoundation.org/"
"Vereinte Nationen",22,"UNO.png","org","https://www.un.org/en/"
"WEF 2020",23,"WEF-2020.jpg","event","/timeline/plandemie.html#event-world-economic-forum-annual-meeting-davos-2020"
"Weltbank",24,"Weltbank.jpg","org","https://www.worldbank.org/en/home"
"Weltgesundheitsorganisation",25,"WHO.png","org","https://www.who.int/"
"World Economic Forum",26,"WEF.png","org","https://www.weforum.org/"
"Wuhan Institute of Virology",27,"WuhanVirology.jpg","edu","http://english.whiov.cas.cn/"
"Wuhan University",28,"WuhanUniversity.png","edu","https://en.whu.edu.cn/"
"Young Global Leaders",29,"younggloballeaders.png","org","https://www.younggloballeaders.org/"
