"id","title","value","link","group"
"1","Kreuzreaktive CD4+ T-Zellen verstärken die SARS-CoV-2-Immunantwort bei Infektion und Impfung","1","https://www.science.org/doi/10.1126/science.abh1823","Immunity"
"2","Immunity","5","","Immunity"
"3","Science","1","","Science"
"4","Wirksamkeit der Covid-19-Impfung gegen das Risiko einer symptomatischen Infektion, eines Krankenhausaufenthalts und des Todes bis zu 9 Monaten: Eine schwedische Kohortenstudie an der Gesamtbevölkerung","1","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3949410","Vaccines"
"5","Vaccines","7","","Vaccines"
"6","SSRN","1","","SSRN"
"7","Vitamin-D-Supplementierung und klinische Ergebnisse bei COVID-19: eine systematische Überprüfung und Meta-Analyse","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8223190/","Therapeutics"
"8","Therapeutics","4","","Therapeutics"
"9","NLM","4","","NLM"
"10","SARS-CoV-2-Spike beeinträchtigt DNA-Schadensreparatur und hemmt V(D)J-Rekombination in vitro","1","https://www.mdpi.com/1999-4915/13/10/2056","Virus"
"11","Virus","5","","Virus"
"12","MDPI","1","","MDPI"
"13","Übertragung in der Gemeinschaft und Kinetik der Viruslast der SARS-CoV-2 delta (B.1.617.2)-Variante bei geimpften und ungeimpften Personen im Vereinigten Königreich: eine prospektive Längsschnitt-Kohortenstudie","1","https://www.thelancet.com/journals/laninf/article/PIIS1473-3099%2821%2900648-4/fulltext","Virus"
"14","The Lancet","1","","The Lancet"
"15","Vitamin-D-Supplementierung zur Behandlung von SARS-CoV-2-positiven Patienten. Beweise aus Meta-Analyse","1","https://journals.viamedica.pl/cardiology_journal/article/view/85559","Therapeutics"
"16","Cardiology Journal","1","","Cardiology Journal"
"17","Korrelate der neutralisierenden/SARS-CoV-2-S1-bindenden Antikörperreaktion mit unerwünschten Wirkungen und Immunkinetik bei BNT162b2-geimpften Personen","1","https://www.medrxiv.org/content/10.1101/2021.07.27.21261237v1.full","Vaccines"
"18","medRxiv","3","","medRxiv"
"19","StudientAbstract 10712: Mrna COVID-Impfstoffe erhöhen drastisch die Entzündungsmarker im Endothel und das ACS-Risiko, gemessen mit dem PULS-Herztest: eine Warnungitel","1","https://www.ahajournals.org/doi/10.1161/circ.144.suppl_1.10712","Vaccines"
"20","AHA","1","","AHA"
"21","Ausbruch von SARS-CoV-2-Infektionen, einschließlich COVID-19-Impfstoff-Durchbruchsinfektionen, im Zusammenhang mit großen öffentlichen Versammlungen - Barnstable County, Massachusetts, Juli 2021 ","1","https://pubmed.ncbi.nlm.nih.gov/34351882/","Vaccines"
"22","20-Wochen-Studie zu den klinischen Ergebnissen der rezeptfreien COVID-19-Prophylaxe und -Behandlung","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8264737/","Therapeutics"
"23","Kein signifikanter Unterschied in der Viruslast zwischen geimpften und ungeimpften, asymptomatischen und symptomatischen Gruppen bei Infektion mit der SARS-CoV-2 Delta-Variante","1","https://www.medrxiv.org/content/10.1101/2021.09.28.21264262v2.full","Virus"
"24","Immunoassay auf der Basis von Magnetkügelchen ermöglicht schnellen, kostengünstigen und quantitativen Nachweis von menschlichen SARS-CoV-2-Antikörpern","1","https://pubs.acs.org/doi/10.1021/acssensors.0c02544","Immunity"
"25","ACS","1","","ACS"
"26","Dem CDC gemeldete COVID-19-Impfstoff-Durchbruchsinfektionen - Vereinigte Staaten, 1. Januar bis 30. April 2021 ","1","https://pubmed.ncbi.nlm.nih.gov/34043615/","Vaccines"
"27","Cutting Edge: Zirkulierende Exosomen mit COVID-Spike-Protein werden durch BNT162b2 (Pfizer-BioNTech)-Impfung vor der Entwicklung von Antikörpern induziert: Ein neuer Mechanismus zur Aktivierung des Immunsystems durch mRNA-Impfstoffe","1","https://www.jimmunol.org/content/early/2021/10/11/jimmunol.2100637","Vaccines"
"28","The Journal of Immunology","1","","The Journal of Immunology"
"29","Zirkulierende Exosomen sind stark an der SARS-CoV-2-Infektion beteiligt","1","https://www.frontiersin.org/articles/10.3389/fmolb.2021.632290/full","Virus"
"30","Front. Mol. Biosci.","1","","Front. Mol. Biosci."
"31","Kardiovaskuläre Magnetresonanzbefunde bei nicht-hospitalisierten pädiatrischen Patienten nach der Genesung von COVID-19","1","https://onlinelibrary.wiley.com/doi/10.1002/ehf2.13678","Virus"
"32","Wiley","1","","Wiley"
"33","Studientitel","1","Link to study","Category"
"34","Category","1","","Category"
"35","Muster","1","","Muster"
"36","SARS-CoV-2-Epitope für menschliche T-Zellen: Adaptive Immunantwort gegen COVID-19","1","https://www.sciencedirect.com/science/article/pii/S1931312821002389","Immunity"
"37","ScienceDirect","1","","ScienceDirect"
"38","Vorhandene polymerase-spezifische T-Zellen vermehren sich bei abortivem seronegativem SARS-CoV-2","1","https://www.nature.com/articles/s41586-021-04186-8","Immunity"
"39","Nature","1","","Nature"
"40","Ivermectin zur Vorbeugung und Behandlung von COVID-19","1","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015017.pub2/full","Therapeutics"
"41","Cochrane Library","1","","Cochrane Library"
"42","Der mRNA-Impfstoff BNT162b2 gegen SARS-CoV-2 programmiert sowohl die adaptive als auch die angeborene Immunantwort um","1","https://www.medrxiv.org/content/10.1101/2021.05.03.21256520v1.full","Vaccines"
"43","Von SARS-CoV-2 abgeleitete Peptide definieren heterologe und COVID-19-induzierte T-Zell-Erkennung","1","https://www.nature.com/articles/s41590-020-00808-x","Immunity"
"44","Nature Immunology","1","","Nature Immunology"
