"id","title","value","link","group"
"1","Erste vollständige Impffolgen-Zusammenstellung: >2.500 Tote nach Impfung mit BNT162b2/Comirnaty: Nebenwirkungen füllen 124 Seiten !","1","https://sciencefiles.org/2021/03/27/erste-vollstandige-impffolgen-zusammenstellung-2-500-tote-nach-impfung-mit-bnt162b2-comirnaty-nebenwirkungen-fullen-124-seiten/","ScienceFiles"
"2","ScienceFiles","96","","ScienceFiles"
"3","2021","2087","","2021"
"4","10.000e Tote als Übersterblichkeit infolge von Impfung? Ergebnisse für das UK legen Möglichkeit nahe [HART-Studie 2]","1","https://sciencefiles.org/2021/03/25/10-000e-tote-als-ubersterblichkeit-infolge-von-impfung-ergebnisse-fur-das-uk-legen-moglichkeit-nahe-hart-studie-2/","ScienceFiles"
"5","WHO-Inspektor sprach über frühere Coronavirus-Manipulationen in Wuhan","1","https://tkp.at/2021/01/19/who-inspektor-sprach-ueber-fruehere-coronavirus-manipulationen-in-wuhan/","tp - Science & Technology"
"6","tp - Science & Technology","176","","tp - Science & Technology"
"7","Dänemark: Dutzende Betroffene fordern Schadenersatz wegen Nebenwirkungen nach Corona-Impfung","1","https://de.rt.com/europa/116027-danemark-37-menschen-fordern-schadenersatz/","RT DE"
"8","RT DE","176","","RT DE"
"9","Über Nacht: Niederlande verhängen totalen Lockdown bis 19. Jänner","1","https://www.wochenblick.at/ueber-nacht-niederlande-verhaengen-totalen-lockdown-bis-19-jaenner/","Wochenblick"
"10","Wochenblick","244","","Wochenblick"
"11","2020","602","","2020"
"12","Impfrisiken bei Schwangeren besser evaluieren","1","https://www.achgut.com/artikel/mehr_fehlgeburten_durch_die_impfung","Achgut.com"
"13","Achgut.com","43","","Achgut.com"
"14","AstraZeneca: Gefährliche Nebenwirkung viel häufiger als angenommen","1","https://de.rt.com/meinung/116950-astrazeneca-gefaehrliche-nebenwirkung-viel-haeufiger-als-angenommen/","RT DE"
"15","Triumph der Irrationalität","1","https://www.rubikon.news/artikel/triumph-der-irrationalitat","Rubikon"
"16","Rubikon","61","","Rubikon"
"17","Brodeln im System: Staatsausgaben und Staatsschulden explodieren","1","https://www.wochenblick.at/brodeln-im-system-staatsausgaben-und-staatsschulden-explodieren/","Wochenblick"
"18","Bis über 98 Prozent aller Schnell-Testergebnisse falsch-positiv","1","https://www.epochtimes.de/meinung/analyse/rki-infografik-nur-einer-von-50-positiv-getesteten-tatsaechlich-infiziert-a3470688.html","Epoch Times"
"19","Epoch Times","190","","Epoch Times"
"20","USA macht sich frei: Masken in 24 Staaten weg, Paniker verzweifelt","1","https://www.achgut.com/artikel/usa_macht_sich_frei_masken_weg_paniker_verzweifelt","Achgut.com"
"21","Die Schein-Coronatoten","1","https://www.rubikon.news/artikel/die-schein-coronatoten-2","Rubikon"
"22","Wegen Corona-Impfung – Entwickelt sich Covid-19 zur gewöhnlichen Erkältung?","1","https://www.tagesanzeiger.ch/entwickelt-sich-die-pandemie-zur-gewoehnlichen-erkaeltung-742316167267","Tagesanzeiger"
"23","Tagesanzeiger","27","","Tagesanzeiger"
"24","Offener Brief von Ärzten und Gesundheitsfachleuten an alle belgischen Behörden und Medien","1","https://www.naturstoff-medizin.de/artikel/offener-brief-von-aerzten-und-gesundheitsfachleuten-an-alle-belgischen-behoerden-und-medien/","Naturstoff Medizin"
"25","Naturstoff Medizin","1","","Naturstoff Medizin"
"26","Der Hass auf die Gesunden","1","https://www.dieostschweiz.ch/artikel/der-hass-auf-die-gesunden-7ovyrrl","Die Ostschweiz"
"27","Die Ostschweiz","159","","Die Ostschweiz"
"28","Lieber Herr Berset, pardon, aber ich glaube Ihnen kein Wort","1","https://www.dieostschweiz.ch/artikel/lieber-herr-berset-pardon-aber-ich-glaube-ihnen-kein-wort-XNdoPyA","Die Ostschweiz"
"29","„Aus rein wissenschaftlicher Sicht“ – Christian Drosten im Tagesthemen-Interview","1","https://www.nachdenkseiten.de/?p=69219","NachDenkSeiten"
"30","NachDenkSeiten","33","","NachDenkSeiten"
"31","Schädigung der Zellen durch geplante Verteilung der mRNA Impfstoffe im Körper","1","https://tkp.at/2021/06/07/schaedigung-der-zellen-durch-geplante-verteilung-der-mrna-impfstoffe-im-koerper/","tp - Science & Technology"
"32","«Kennen Sie denn niemanden, der schwer an Corona erkrankt ist?»","1","https://www.dieostschweiz.ch/artikel/kennen-sie-denn-niemanden-der-schwer-an-corona-erkrankt-ist-YrmNKKl","Die Ostschweiz"
"33","Zwei Regionen geben Anlass zur Hoffnung – die Ostschweiz inklusive","1","https://www.dieostschweiz.ch/artikel/zwei-regionen-geben-anlass-zur-hoffnung-die-ostschweiz-inklusive-4Yz9lX9","Die Ostschweiz"
"34","Wien: Corona-Testergebnisse von 62 Kindern einer Volksschule waren falsch","1","https://de.rt.com/europa/114859-wien-falsche-positive-corona-testergebnisse/","RT DE"
"35","Pfizer-Vize bekräftigt: PCR-Test alleine sagt nichts über Infektion aus","1","https://www.wochenblick.at/pfizer-vize-bekraeftigt-pcr-test-alleine-sagt-nichts-ueber-infektion-aus/","Wochenblick"
"36","Der Gipfel der Hypokrisie","1","https://corona-transition.org/der-gipfel-der-hypokrisie","Corona Transition"
"37","Corona Transition","155","","Corona Transition"
"38","Big Pictures","1","https://multipolar-magazin.de/artikel/big-pictures","multipolar"
"39","multipolar","20","","multipolar"
"40","Fliegt alles auf? Nerven liegen blank, Drosten wird ausfällig","1","https://report24.news/fliegt-alles-auf-nerven-liegen-blank-drosten-wird-ausfaellig/","Report24"
"41","Report24","74","","Report24"
"42","Impfung für Kinder: So unwissenschaftlich ist die «Grundlage»","1","https://www.medinside.ch/de/post/impfung-fuer-kinder-so-unwissenschaftlich-ist-die-grundlage","medinside.ch"
"43","medinside.ch","29","","medinside.ch"
"44","Als der Vergleich mit der Grippe noch statthaft war","1","https://www.dieostschweiz.ch/artikel/als-der-vergleich-mit-der-grippe-noch-statthaft-war-OQo959y","Die Ostschweiz"
"45","Maskenpflicht: Einige Zürcher Eltern wechseln auf Home Schooling","1","https://www.nzz.ch/zuerich/wegen-maskenpflicht-fuer-schueler-in-mehreren-zuercher-gemeinden-wechseln-eltern-auf-privatunterricht-ld.1599070","NZZ"
"46","NZZ","44","","NZZ"
"47","Über 160 Experten prangern Covid-Impfstoffe in einem eindringlichen Brief als «unnötig, unwirksam und unsicher» an","1","https://corona-transition.org/uber-160-experten-prangern-covid-impfstoffe-in-einem-eindringlichen-brief-als","Corona Transition"
"48","Kollateralschäden der Corona-Impfungen: verstörende Erfahrungsberichte","1","https://reitschuster.de/post/kollateralschaeden-der-corona-impfungen-verstoerende-erfahrungsberichte/","reitschuster"
"49","reitschuster","153","","reitschuster"
