Land,Typ,Name,Webseite,Beschreibung,Telegram,Video,Adresse
Schweiz,Person,Heinz Raschein,https://heinz-raschein.ch,,,,
Schweiz,Organisation,Unser Recht,https://unser-recht.ch,,,,
Schweiz,Organisation,,www.juristenkomittee.ch,,,,
Schweiz,Organisation,,https://vereinte-rechtshilfe.ch,,,,
Schweiz,Person,Philipp Kruse,www.kruse-law.ch,Beirat von FdV,https://t.me/philippkruse,,"Kruse | Law, Philipp Kruse, Rechtsanwalt, LL.M., Talstrasse 20, 8001 Zürich"
Schweiz,Organisation,,www.vereinte-rechtshilfe.ch,,,,
Schweiz,Organisation,,www.sozietaet.ch,,,,
Schweiz,Organisation,,https://wirmenschen.ch/,,,,
Schweiz,Organisation,,www.wirklagenan.org,,,,
Schweiz,Organisation,,www.hot.sips.com,,,,
Schweiz,Organisation,,www.vfs-partner.ch,,,,
Schweiz,Person,,Einführung - Alex Brunner (brunner-architekt.ch),,,,
