name,meta
"Jamila Abass","Head of Growth, Wefarm, United Kingdom"
"Faisal Abbas","Editor-in-Chief, Arab News, Saudi Arabia"
"Minoush Abdel-Meguid","Co-Founder and Managing Director, Union Capital, Egypt"
"Tolkunbek Abdygulov","Governor, National Bank of the Kyrgyz Republic, Kyrgyz Republic"
"Asanga Abeyagoonasekera","Director-General, Institute of National Security Studies, Sri Lanka"
"Penny Abeywardena","Commissioner for International Affairs, Mayor's Office, City of New York, USA"
"Hafsat Abiola-Costello","President and Chief Executive Officer, Women in Africa Initiative, France"
"Iyinoluwa Aboyeji","General Partner, Future Africa, Nigeria"
"Reuben Abraham","Chief Executive Officer and Senior Fellow, IDFC Institute, India"
"Tony Abrahams","Co-Founder and Chief Executive Officer, Ai-Media, Canada"
"Muna AbuSulayman","Founder, NIYA, Saudi Arabia"
"Tendayi Achiume","Special Rapporteur on Contemporary Forms of Racism, Office of the High Commissioner for Human Rights (OHCHR), Zambia"
"Niklas Adalberth","Founder and Executive Chairman, Norrsken Foundation, Sweden"
"Joseph Adelegan","President, Global Network for Environment and Economic Development Research, Nigeria"
"Yonatan Adiri","Founder and Chief Executive Officer, Healthy.io, Israel"
"Ali Adnan Ibrahim","Global Head, Social and Sustainable Finance, Al Baraka Banking Group, Bahrain"
Conversion Error
"Daniel Ahn","Managing Director, Chief U.S. Economist, Head of Markets 360 - North America, BNP Paribas, USA"
"David Aikman","Chief Representative Officer, China; Member of the Executive Committee, World Economic Forum Beijing, People's Republic of China"
"Peter Biar Ajak","Visiting Fellow and Adjunct Faculty, Africa Center for Strategic Studies, USA"
"ANULIKA AJUFO","Venture Partner, Europe, Middle East and Africa, Sagana, United Kingdom"
"Shaharzad Akbar","Chairperson, Afghanistan Independent Human Rights Commission, Afghanistan"
"Vikram K. Akula","Chairperson, Vaya Trust 5, India"
"Rafat Al-Akhali","Fellow of Practice, Strategic Projects, Blavatnik School of Government, University of Oxford, United Kingdom"
"Malak Jehad Al Akiely","Founder and Chief Executive Officer, Golden Wheat for Grain Trading Ltd, Jordan"
"Nabeel M. Al-Amudi","Chief Executive Officer, Olayan Financing Group, Saudi Arabia"
"Nesreen M. Al Barwari","Country Representative, Adviser and Consultant, Friends of Waldorf Education, Iraq"
"Esraa Al-Buti","Partner, EY, Saudi Arabia"
