TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W53;CH;_T;T;P;1805
2020-W53;CH;_T;F;P;942
2020-W53;CH;_T;M;P;863
2020-W53;CH;Y0T4;T;P;2
2020-W53;CH;Y0T4;F;P;2
2020-W53;CH;Y15T19;T;P;1
2020-W53;CH;Y15T19;M;P;1
2020-W53;CH;Y20T24;T;P;3
2020-W53;CH;Y20T24;F;P;3
2020-W53;CH;Y25T29;T;P;4
2020-W53;CH;Y25T29;M;P;4
2020-W53;CH;Y30T34;T;P;4
2020-W53;CH;Y30T34;F;P;1
2020-W53;CH;Y30T34;M;P;3
2020-W53;CH;Y35T39;T;P;4
2020-W53;CH;Y35T39;F;P;3
2020-W53;CH;Y35T39;M;P;1
2020-W53;CH;Y40T44;T;P;7
2020-W53;CH;Y40T44;F;P;1
2020-W53;CH;Y40T44;M;P;6
2020-W53;CH;Y45T49;T;P;10
2020-W53;CH;Y45T49;F;P;6
2020-W53;CH;Y45T49;M;P;4
2020-W53;CH;Y50T54;T;P;23
2020-W53;CH;Y50T54;F;P;6
2020-W53;CH;Y50T54;M;P;17
2020-W53;CH;Y55T59;T;P;29
2020-W53;CH;Y55T59;F;P;14
2020-W53;CH;Y55T59;M;P;15
2020-W53;CH;Y60T64;T;P;67
2020-W53;CH;Y60T64;F;P;28
2020-W53;CH;Y60T64;M;P;39
2020-W53;CH;Y65T69;T;P;74
2020-W53;CH;Y65T69;F;P;27
2020-W53;CH;Y65T69;M;P;47
2020-W53;CH;Y70T74;T;P;122
2020-W53;CH;Y70T74;F;P;40
2020-W53;CH;Y70T74;M;P;82
2020-W53;CH;Y75T79;T;P;195
2020-W53;CH;Y75T79;F;P;82
2020-W53;CH;Y75T79;M;P;113
2020-W53;CH;Y80T84;T;P;288
2020-W53;CH;Y80T84;F;P;142
2020-W53;CH;Y80T84;M;P;146
2020-W53;CH;Y85T89;T;P;402
2020-W53;CH;Y85T89;F;P;207
2020-W53;CH;Y85T89;M;P;195
