"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W01";"CH";"_T";"T";"P";1891
"2021-W01";"CH";"_T";"F";"P";945
"2021-W01";"CH";"_T";"M";"P";946
"2021-W01";"CH";"Y0T4";"T";"P";6
"2021-W01";"CH";"Y0T4";"F";"P";4
"2021-W01";"CH";"Y0T4";"M";"P";2
"2021-W01";"CH";"Y15T19";"T";"P";2
"2021-W01";"CH";"Y15T19";"F";"P";2
"2021-W01";"CH";"Y20T24";"T";"P";1
"2021-W01";"CH";"Y20T24";"F";"P";1
"2021-W01";"CH";"Y25T29";"T";"P";2
"2021-W01";"CH";"Y25T29";"F";"P";1
"2021-W01";"CH";"Y25T29";"M";"P";1
"2021-W01";"CH";"Y30T34";"T";"P";5
"2021-W01";"CH";"Y30T34";"F";"P";2
"2021-W01";"CH";"Y30T34";"M";"P";3
"2021-W01";"CH";"Y35T39";"T";"P";5
"2021-W01";"CH";"Y35T39";"F";"P";1
"2021-W01";"CH";"Y35T39";"M";"P";4
"2021-W01";"CH";"Y40T44";"T";"P";2
"2021-W01";"CH";"Y40T44";"F";"P";1
"2021-W01";"CH";"Y40T44";"M";"P";1
"2021-W01";"CH";"Y45T49";"T";"P";9
"2021-W01";"CH";"Y45T49";"F";"P";2
"2021-W01";"CH";"Y45T49";"M";"P";7
"2021-W01";"CH";"Y50T54";"T";"P";32
"2021-W01";"CH";"Y50T54";"F";"P";10
"2021-W01";"CH";"Y50T54";"M";"P";22
"2021-W01";"CH";"Y55T59";"T";"P";48
"2021-W01";"CH";"Y55T59";"F";"P";19
"2021-W01";"CH";"Y55T59";"M";"P";29
"2021-W01";"CH";"Y60T64";"T";"P";51
"2021-W01";"CH";"Y60T64";"F";"P";16
"2021-W01";"CH";"Y60T64";"M";"P";35
"2021-W01";"CH";"Y65T69";"T";"P";83
"2021-W01";"CH";"Y65T69";"F";"P";25
"2021-W01";"CH";"Y65T69";"M";"P";58
"2021-W01";"CH";"Y70T74";"T";"P";138
"2021-W01";"CH";"Y70T74";"F";"P";50
"2021-W01";"CH";"Y70T74";"M";"P";88
"2021-W01";"CH";"Y75T79";"T";"P";216
"2021-W01";"CH";"Y75T79";"F";"P";88
"2021-W01";"CH";"Y75T79";"M";"P";128
"2021-W01";"CH";"Y80T84";"T";"P";282
"2021-W01";"CH";"Y80T84";"F";"P";119
"2021-W01";"CH";"Y80T84";"M";"P";163
"2021-W01";"CH";"Y85T89";"T";"P";384
"2021-W01";"CH";"Y85T89";"F";"P";184
"2021-W01";"CH";"Y85T89";"M";"P";200
"2021-W01";"CH";"Y_GE90";"T";"P";625
"2021-W01";"CH";"Y_GE90";"F";"P";420
"2021-W01";"CH";"Y_GE90";"M";"P";205
"2021-W01";"CH011";"_T";"T";"P";132
"2021-W01";"CH011";"_T";"F";"P";72
"2021-W01";"CH011";"_T";"M";"P";60
"2021-W01";"CH011";"Y0T4";"T";"P";1
