TIME_PERIOD;GEO;AGE;SEX;OBS_STATUS;OBS_VALUE
2022-W01;CH;_T;T;P;1471
2022-W01;CH;_T;F;P;741
2022-W01;CH;_T;M;P;730
2022-W01;CH;Y0T4;T;P;3
2022-W01;CH;Y0T4;F;P;2
2022-W01;CH;Y0T4;M;P;1
2022-W01;CH;Y5T9;T;P;1
2022-W01;CH;Y5T9;M;P;1
2022-W01;CH;Y15T19;T;P;2
2022-W01;CH;Y15T19;F;P;1
2022-W01;CH;Y15T19;M;P;1
2022-W01;CH;Y20T24;T;P;1
2022-W01;CH;Y20T24;M;P;1
2022-W01;CH;Y25T29;T;P;4
2022-W01;CH;Y25T29;M;P;4
2022-W01;CH;Y30T34;T;P;3
2022-W01;CH;Y30T34;F;P;1
2022-W01;CH;Y30T34;M;P;2
2022-W01;CH;Y35T39;T;P;6
2022-W01;CH;Y35T39;F;P;2
2022-W01;CH;Y35T39;M;P;4
2022-W01;CH;Y40T44;T;P;12
2022-W01;CH;Y40T44;F;P;3
2022-W01;CH;Y40T44;M;P;9
2022-W01;CH;Y45T49;T;P;11
2022-W01;CH;Y45T49;F;P;5
2022-W01;CH;Y45T49;M;P;6
2022-W01;CH;Y50T54;T;P;15
2022-W01;CH;Y50T54;F;P;3
2022-W01;CH;Y50T54;M;P;12
2022-W01;CH;Y55T59;T;P;29
2022-W01;CH;Y55T59;F;P;11
2022-W01;CH;Y55T59;M;P;18
2022-W01;CH;Y60T64;T;P;52
2022-W01;CH;Y60T64;F;P;24
2022-W01;CH;Y60T64;M;P;28
2022-W01;CH;Y65T69;T;P;78
2022-W01;CH;Y65T69;F;P;37
2022-W01;CH;Y65T69;M;P;41
2022-W01;CH;Y70T74;T;P;129
2022-W01;CH;Y70T74;F;P;45
2022-W01;CH;Y70T74;M;P;84
2022-W01;CH;Y75T79;T;P;180
2022-W01;CH;Y75T79;F;P;72
2022-W01;CH;Y75T79;M;P;108
2022-W01;CH;Y80T84;T;P;212
2022-W01;CH;Y80T84;F;P;94
2022-W01;CH;Y80T84;M;P;118
2022-W01;CH;Y85T89;T;P;298
2022-W01;CH;Y85T89;F;P;159
2022-W01;CH;Y85T89;M;P;139
2022-W01;CH;Y_GE90;T;P;435
2022-W01;CH;Y_GE90;F;P;282
2022-W01;CH;Y_GE90;M;P;153
2022-W01;CH011;_T;T;P;125
2022-W01;CH011;_T;F;P;63
2022-W01;CH011;_T;M;P;62
2022-W01;CH011;Y15T19;T;P;1
2022-W01;CH011;Y15T19;M;P;1
2022-W01;CH011;Y45T49;T;P;2
2022-W01;CH011;Y45T49;M;P;2
2022-W01;CH011;Y50T54;T;P;2
2022-W01;CH011;Y50T54;M;P;2
2022-W01;CH011;Y60T64;T;P;6
2022-W01;CH011;Y60T64;F;P;2
2022-W01;CH011;Y60T64;M;P;4
2022-W01;CH011;Y65T69;T;P;6
2022-W01;CH011;Y65T69;F;P;4
2022-W01;CH011;Y65T69;M;P;2
2022-W01;CH011;Y70T74;T;P;10
2022-W01;CH011;Y70T74;F;P;3
2022-W01;CH011;Y70T74;M;P;7
2022-W01;CH011;Y75T79;T;P;13
2022-W01;CH011;Y75T79;F;P;6
2022-W01;CH011;Y75T79;M;P;7
2022-W01;CH011;Y80T84;T;P;24
2022-W01;CH011;Y80T84;F;P;14
2022-W01;CH011;Y80T84;M;P;10
2022-W01;CH011;Y85T89;T;P;22
2022-W01;CH011;Y85T89;F;P;9
2022-W01;CH011;Y85T89;M;P;13
2022-W01;CH011;Y_GE90;T;P;39
2022-W01;CH011;Y_GE90;F;P;25
2022-W01;CH011;Y_GE90;M;P;14
2022-W01;CH012;_T;T;P;65
2022-W01;CH012;_T;F;P;33
2022-W01;CH012;_T;M;P;32
2022-W01;CH012;Y25T29;T;P;1
2022-W01;CH012;Y25T29;M;P;1
2022-W01;CH012;Y40T44;T;P;1
2022-W01;CH012;Y40T44;M;P;1
2022-W01;CH012;Y50T54;T;P;1
2022-W01;CH012;Y50T54;M;P;1
2022-W01;CH012;Y55T59;T;P;1
2022-W01;CH012;Y55T59;F;P;1
2022-W01;CH012;Y60T64;T;P;1
2022-W01;CH012;Y60T64;M;P;1
2022-W01;CH012;Y65T69;T;P;4
2022-W01;CH012;Y65T69;F;P;1
2022-W01;CH012;Y65T69;M;P;3
2022-W01;CH012;Y70T74;T;P;2
2022-W01;CH012;Y70T74;M;P;2
2022-W01;CH012;Y75T79;T;P;5
2022-W01;CH012;Y75T79;F;P;1
2022-W01;CH012;Y75T79;M;P;4
2022-W01;CH012;Y80T84;T;P;14
2022-W01;CH012;Y80T84;F;P;6
2022-W01;CH012;Y80T84;M;P;8
2022-W01;CH012;Y85T89;T;P;13
2022-W01;CH012;Y85T89;F;P;11
2022-W01;CH012;Y85T89;M;P;2
2022-W01;CH012;Y_GE90;T;P;22
2022-W01;CH012;Y_GE90;F;P;13
2022-W01;CH012;Y_GE90;M;P;9
