week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,2,2,0,1,2,4
2,0,1,0,1,2,5
3,2,1,1,2,1,3
4,2,2,0,0,2,6
5,0,0,1,1,1,2
6,0,2,0,3,3,4
7,0,0,2,2,2,2
8,0,1,0,2,2,1
9,1,2,1,0,1,6
10,0,0,0,2,1,3
11,1,2,3,4,5,8
12,0,3,1,4,6,3
13,1,2,2,0,4,3
14,1,0,1,3,0,2
15,0,1,0,0,1,6
16,1,0,1,1,1,4
17,1,0,0,0,1,3
18,1,3,1,2,2,1
19,2,2,0,1,4,1
20,0,1,1,2,1,0
21,0,3,1,2,1,4
22,1,1,1,1,1,2
23,0,0,1,0,1,3
24,0,1,0,0,2,2
25,1,0,2,2,1,4
26,1,0,0,1,0,4
27,0,1,1,2,1,2
28,0,0,2,2,2,2
29,1,0,2,1,1,0
30,2,2,0,1,0,2
31,0,0,3,1,1,3
32,1,0,3,0,3,2
33,0,0,0,3,1,0
34,0,1,0,1,0,2
35,0,1,1,1,3,3
36,0,3,1,0,2,4
37,0,0,0,0,1,2
38,0,0,2,0,2,5
39,1,0,0,1,1,2
40,1,1,0,3,3,4
41,0,1,0,0,1,2
42,0,1,0,3,5,8
43,1,0,1,1,2,1
44,1,1,1,2,1,2
45,0,0,1,0,3,2
46,1,0,0,2,2,3
47,1,2,2,1,3,4
48,3,1,1,1,2,4
49,1,0,1,2,3,3
50,0,0,1,1,3,1
51,0,1,0,1,2,3
52,0,1,2,0,3,5
53,0,1,1,2,2,3
