week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,0,3,1,0,4,6,7
2,1,0,0,0,1,0,0,0,2,0,6,6,12
3,1,0,0,0,0,1,1,0,1,2,4,7,7
4,0,0,0,0,1,0,0,1,0,6,2,3,7
5,1,0,0,0,0,0,1,1,0,2,1,3,12
6,0,0,0,0,1,0,0,0,2,4,2,7,9
7,0,0,0,0,0,1,0,0,1,2,1,6,8
8,1,0,0,0,2,0,2,0,2,6,5,10,12
9,0,0,0,0,0,0,0,0,0,1,5,7,7
10,1,1,0,0,0,1,1,0,1,2,3,3,10
11,0,0,0,0,0,0,1,1,1,1,0,5,2
12,0,0,0,0,0,0,0,0,0,3,4,6,5
13,0,0,0,0,0,0,1,2,1,0,9,2,10
14,1,0,0,0,2,3,0,1,2,3,4,8,9
15,1,0,0,0,1,0,0,0,0,2,0,3,8
16,0,0,0,1,0,0,0,0,0,3,3,9,5
17,1,1,0,0,0,0,0,1,0,4,4,3,9
18,2,0,0,0,1,1,0,0,1,2,2,1,7
19,0,0,0,0,0,0,0,1,3,5,3,3,3
20,1,0,0,1,2,0,0,0,1,1,7,1,4
21,1,0,0,0,0,0,0,0,1,1,4,5,5
22,0,0,0,1,0,0,1,0,0,0,7,5,6
23,1,0,0,0,1,0,0,0,2,0,4,7,7
24,3,0,0,1,0,0,0,1,0,2,7,5,6
25,0,0,0,0,1,0,1,0,0,1,4,5,5
26,0,0,0,0,0,0,0,0,1,3,3,10,14
27,0,0,0,0,0,0,0,0,1,2,5,6,6
28,0,0,0,1,1,0,0,0,2,4,3,8,4
29,2,1,0,1,0,1,1,0,5,0,9,3,6
30,0,0,0,0,0,0,0,0,0,3,1,7,7
31,0,0,0,0,0,1,0,1,2,3,6,2,6
32,0,0,1,0,0,0,1,2,2,2,1,6,9
33,0,0,0,0,0,1,1,0,0,1,2,5,4
34,3,0,0,0,0,0,1,0,3,2,4,5,9
35,1,0,0,0,1,2,1,1,2,6,4,2,4
36,0,0,0,0,0,1,1,2,0,0,5,5,9
37,1,0,0,0,1,1,0,0,2,0,1,4,8
38,2,0,0,0,0,1,0,0,2,3,4,11,14
39,0,0,0,1,1,2,0,0,1,1,2,4,8
40,3,0,0,0,0,0,1,4,2,5,5,6,9
41,0,0,0,0,0,2,1,0,0,1,7,3,6
42,1,1,0,0,0,0,0,0,0,2,7,2,8
43,2,1,0,0,2,0,0,0,2,1,2,5,5
44,4,0,0,0,0,1,1,1,0,3,2,4,4
45,0,1,0,0,1,1,1,0,0,1,0,6,8
46,0,0,0,0,1,1,1,0,0,2,7,6,7
47,2,0,0,0,1,0,1,0,2,4,5,6,9
48,1,0,0,0,0,2,1,0,1,3,5,8,7
49,0,0,0,1,0,0,1,1,1,0,2,10,10
50,0,0,0,0,0,0,0,0,0,1,4,8,10
51,1,0,0,1,1,0,1,0,0,1,7,8,11
52,4,1,0,0,0,0,1,0,1,4,7,6,9
53,2,0,0,0,0,0,0,2,1,3,5,3,8
