week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,1,1,3,4,5,14
2,2,2,4,8,8,17
3,5,5,4,11,5,11
4,2,5,5,5,9,19
5,3,2,5,9,11,14
6,4,6,6,10,7,16
7,4,1,4,4,14,21
8,1,3,4,12,20,14
9,3,4,2,5,20,12
10,2,1,2,8,14,15
11,3,2,8,7,9,19
12,2,4,4,9,11,12
13,1,3,5,9,7,19
14,4,3,9,5,9,10
15,1,3,3,3,3,14
16,4,3,4,5,7,11
17,4,3,5,5,10,13
18,8,2,4,4,9,12
19,1,1,5,6,7,10
20,1,5,3,4,8,12
21,1,1,3,6,8,15
22,2,3,1,7,4,16
23,1,3,4,4,10,11
24,1,6,6,5,7,10
25,3,2,4,4,10,13
26,2,5,3,5,9,11
27,0,8,6,4,13,20
28,5,4,8,4,9,20
29,6,2,4,9,8,14
30,5,5,2,5,7,15
31,3,2,3,4,9,5
32,1,1,1,6,8,15
33,4,4,2,6,7,8
34,4,2,10,5,7,10
35,1,7,6,8,5,6
36,3,4,4,8,7,9
37,5,6,5,3,12,9
38,3,3,4,4,11,7
39,4,1,3,4,9,7
40,1,3,4,7,7,12
41,2,1,3,7,6,9
42,0,3,3,4,11,11
43,2,0,3,4,10,10
44,1,5,6,6,6,11
45,2,2,3,7,6,2
46,0,1,2,4,8,9
47,2,1,2,5,10,17
48,1,3,4,11,5,7
49,2,2,3,7,8,12
50,1,6,4,2,8,14
51,4,2,3,6,4,10
52,3,5,3,6,6,15
53,2,3,8,7,11,10
