week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,0,1,1
3,0,0,0,0,0,0,0,0,0,0,0,2,2
4,0,0,0,0,0,0,0,0,0,0,0,1,3
5,0,0,1,0,0,0,0,1,0,0,2,3,5
6,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1,0,0,0,0,1,0,0,0,1,0,4,3
8,0,0,1,0,0,0,0,0,0,0,0,1,1
9,1,0,0,0,0,0,0,0,0,1,0,1,1
10,0,0,0,0,0,0,0,0,0,0,1,1,1
11,0,0,0,0,0,0,0,0,0,0,1,1,0
12,0,0,0,0,0,1,0,0,0,1,0,0,3
13,0,0,0,0,0,0,0,0,0,0,0,2,0
14,0,0,0,0,0,0,0,0,0,2,0,3,1
15,0,0,0,0,0,0,0,0,0,0,1,0,0
16,0,0,0,0,0,0,0,0,0,1,3,2,2
17,0,0,0,0,0,0,0,0,0,0,1,0,1
18,0,0,0,0,1,0,0,0,0,0,0,1,1
19,1,0,0,0,0,0,0,1,1,0,1,0,3
20,0,0,0,0,0,0,0,0,1,1,1,0,0
21,0,1,0,0,0,1,0,0,0,0,0,1,2
22,0,0,0,0,0,0,0,0,1,0,2,1,0
23,0,0,0,0,0,0,0,1,0,0,0,3,1
24,0,0,0,0,0,0,1,0,0,0,2,1,1
25,0,0,0,0,0,1,0,0,0,0,1,0,2
26,0,0,0,0,0,0,0,0,0,0,1,2,3
27,0,0,0,0,0,0,0,0,0,0,1,1,2
28,0,0,0,0,1,0,1,0,0,0,0,3,1
29,0,0,0,0,0,0,0,0,0,0,1,1,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,2,1
32,0,0,0,0,0,0,0,0,0,0,2,1,0
33,0,0,0,0,0,0,0,0,1,1,1,0,0
34,0,0,0,1,0,0,0,0,0,0,0,1,2
35,1,0,0,0,0,0,0,0,0,0,1,2,1
36,0,0,0,0,0,0,0,1,0,0,1,0,5
37,0,0,0,0,0,0,0,0,0,0,2,0,1
38,0,0,0,0,0,0,0,0,0,0,0,1,2
39,0,0,0,0,0,0,0,0,0,0,0,1,0
40,0,0,0,0,0,0,0,1,0,0,0,0,0
41,0,0,0,0,0,0,0,0,1,1,1,0,2
42,0,0,0,0,0,0,0,0,1,1,0,0,1
43,1,0,0,0,0,0,1,0,0,0,1,2,3
44,0,0,0,0,0,0,0,0,0,1,0,2,0
45,0,0,0,0,0,0,0,0,0,0,0,2,0
46,0,0,0,0,0,0,0,0,0,0,3,2,2
47,0,0,0,0,0,1,0,0,0,0,1,1,1
48,0,0,0,0,0,0,0,0,0,0,1,0,3
49,2,0,0,0,0,0,0,0,0,0,0,1,1
50,0,0,0,0,0,0,0,0,0,0,0,0,2
51,0,0,0,0,0,1,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,1,0,0,3,2,2
53,0,0,0,0,0,0,1,0,0,0,3,0,2
