week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,1,0,0,3,4,0,2
2,2,0,0,0,0,1,1,0,0,1,1,3,2
3,0,0,0,0,0,0,0,1,0,2,3,3,4
4,1,0,0,0,0,0,0,0,1,1,4,4,3
5,1,0,0,0,0,0,0,0,0,1,0,3,5
6,0,0,0,0,0,0,0,0,1,1,1,0,2
7,0,0,0,0,0,1,0,0,1,1,1,3,5
8,0,0,0,0,0,0,1,1,0,1,1,2,2
9,0,1,0,0,0,0,0,0,0,1,2,3,2
10,1,0,0,0,0,0,0,0,1,0,2,1,2
11,0,0,0,0,0,0,0,0,0,0,0,1,4
12,2,0,0,1,0,0,0,0,0,1,1,2,0
13,0,0,0,0,0,0,0,0,0,1,0,3,3
14,0,0,0,0,0,0,1,0,1,3,2,1,3
15,0,0,0,0,0,0,0,0,0,0,4,2,2
16,0,0,0,0,0,0,1,0,0,3,2,0,2
17,1,0,0,0,0,0,0,1,0,1,1,1,1
18,1,0,0,0,0,1,0,1,1,0,1,1,1
19,0,0,0,0,0,0,0,0,0,1,1,1,2
20,0,0,0,1,0,0,0,0,0,0,1,1,2
21,0,0,0,0,0,0,0,0,0,1,2,1,3
22,0,0,0,0,0,0,0,0,2,2,4,0,1
23,0,0,0,0,0,0,0,0,0,2,2,1,3
24,1,0,0,0,1,0,0,0,1,0,1,2,0
25,0,0,0,0,0,0,0,0,1,2,0,0,3
26,0,0,0,0,0,0,0,0,2,0,2,0,5
27,0,0,0,0,0,0,0,0,0,0,0,3,0
28,0,0,0,0,0,0,0,1,2,1,0,3,1
29,0,0,0,0,1,0,0,1,0,1,2,3,2
30,0,0,0,0,0,0,0,0,0,1,1,1,3
31,0,0,0,0,0,3,1,0,0,1,1,4,1
32,2,0,0,0,1,0,1,0,0,0,0,1,4
33,0,0,0,1,1,0,1,0,1,3,1,3,1
34,0,0,0,0,0,1,0,0,2,1,1,2,3
35,1,0,0,0,1,0,1,1,0,0,4,2,5
36,0,0,0,0,0,0,0,1,0,0,2,2,3
37,0,0,0,0,1,0,0,0,0,1,0,1,1
38,0,0,0,0,0,0,0,0,2,1,0,0,3
39,0,0,0,0,0,0,0,0,2,0,0,2,1
40,1,0,0,0,0,0,1,1,1,0,0,2,1
41,0,0,0,0,1,0,0,0,0,0,1,3,1
42,2,0,0,0,0,0,0,0,0,0,1,1,3
43,0,0,0,0,0,0,0,1,0,1,0,2,5
44,1,0,0,0,0,0,1,1,0,0,3,2,2
45,0,0,0,0,0,0,0,0,1,1,1,3,3
46,1,0,0,0,0,0,0,0,0,1,2,2,1
47,0,0,0,0,0,0,0,1,0,0,1,2,3
48,0,0,0,0,0,0,0,0,0,0,1,3,1
49,0,1,1,0,1,0,0,0,1,0,1,3,5
50,0,0,0,0,0,0,0,0,0,1,1,4,8
51,1,0,0,0,0,0,0,0,0,0,2,2,0
52,0,0,0,0,0,0,0,0,0,1,0,1,2
53,0,0,0,0,1,0,0,1,0,0,1,1,5
