week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,0,1,1,0,0,1,3
2,0,0,0,0,0,0,0,1,3,1,2,1,5
3,0,0,0,0,0,0,0,1,0,2,0,2,3
4,0,0,0,0,0,0,0,0,1,1,1,0,4
5,0,0,0,0,0,0,0,0,0,0,2,3,2
6,0,0,0,0,0,0,0,0,0,1,0,2,0
7,0,0,0,0,0,0,0,0,0,0,2,1,3
8,0,0,0,0,0,0,0,0,0,0,1,5,2
9,1,0,0,0,0,0,0,0,1,0,1,1,7
10,1,0,0,0,0,0,0,1,0,0,2,0,4
11,0,0,0,0,1,0,0,0,0,1,2,2,3
12,0,0,0,0,0,1,0,0,0,0,4,0,3
13,0,0,0,0,0,0,1,0,0,0,1,1,1
14,0,0,0,0,0,0,0,0,0,1,4,2,2
15,0,0,0,0,0,0,0,0,0,0,2,2,1
16,0,0,0,0,0,1,0,0,0,0,2,3,2
17,1,0,0,0,0,0,0,0,0,0,0,0,2
18,1,0,0,0,0,0,1,0,2,1,0,0,2
19,0,0,0,0,0,0,0,2,0,0,0,0,1
20,0,0,0,0,0,0,0,1,0,0,1,1,2
21,0,0,0,0,0,1,0,0,0,0,2,1,0
22,0,0,0,0,0,0,0,1,0,2,1,2,1
23,0,0,0,0,0,0,0,0,0,1,0,1,0
24,1,0,1,0,1,0,0,1,0,0,2,2,0
25,0,0,0,0,0,0,1,0,3,1,3,1,4
26,0,0,0,1,0,0,0,0,0,0,0,1,0
27,0,0,0,0,0,0,0,0,0,1,0,1,1
28,0,0,0,0,0,0,0,1,1,1,2,1,5
29,1,0,0,0,0,1,0,0,0,0,1,2,3
30,1,0,0,0,0,1,0,0,0,1,2,0,5
31,1,0,0,0,0,0,1,1,0,1,1,0,5
32,2,0,0,0,0,0,0,0,0,1,0,2,3
33,0,0,0,0,0,0,0,1,0,0,2,0,4
34,0,0,0,0,0,0,0,1,0,2,1,1,2
35,0,0,0,0,1,0,0,1,0,1,0,2,0
36,0,0,0,0,0,0,0,0,0,1,3,1,1
37,0,0,0,0,0,0,0,0,1,0,1,0,2
38,1,0,0,0,0,0,0,0,0,0,1,1,2
39,1,0,0,0,0,1,0,0,0,1,1,1,1
40,0,0,0,1,0,0,0,0,0,2,2,1,2
41,0,0,0,0,0,0,0,1,1,0,2,1,1
42,0,0,0,0,0,0,0,0,0,1,1,4,4
43,0,0,0,1,0,0,0,0,0,0,0,2,5
44,0,0,0,0,1,0,0,0,0,0,2,2,3
45,0,0,0,0,0,0,0,0,0,2,3,0,6
46,0,0,0,0,0,0,1,0,0,0,1,2,4
47,0,0,0,0,0,0,0,0,2,2,0,1,1
48,0,0,0,0,0,0,0,0,0,0,0,1,2
49,1,0,0,0,0,0,0,0,0,0,1,0,4
50,1,0,0,0,0,0,1,1,1,1,0,2,1
51,0,0,0,0,0,0,0,0,1,0,1,0,2
52,0,0,0,0,0,0,0,0,0,1,2,3,3
53,0,0,0,0,0,0,0,0,0,0,0,3,0
