week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,6,2,2,8,13,14
2,4,6,4,6,12,21
3,2,6,6,7,15,7
4,5,5,5,10,12,13
5,3,5,7,7,13,17
6,7,3,12,14,15,19
7,4,4,0,13,13,22
8,1,3,15,15,10,20
9,4,5,2,8,19,13
10,4,3,9,16,19,13
11,4,5,9,12,11,15
12,4,5,6,6,13,13
13,5,6,5,12,11,9
14,2,5,8,7,11,11
15,9,5,4,8,14,12
16,7,1,5,9,5,18
17,3,4,5,7,4,10
18,9,6,4,6,13,12
19,3,8,4,10,7,19
20,4,4,7,10,9,7
21,2,4,2,7,10,7
22,4,2,3,7,11,10
23,3,7,7,9,8,13
24,5,5,2,8,4,6
25,4,1,4,10,7,11
26,7,7,4,5,8,13
27,10,4,6,9,9,9
28,6,6,5,5,10,15
29,1,5,8,10,10,14
30,5,5,4,3,11,8
31,7,4,1,8,7,7
32,2,6,5,4,8,9
33,2,5,10,9,10,8
34,8,3,3,11,7,6
35,2,2,6,7,6,10
36,4,5,3,4,10,9
37,2,3,5,6,6,10
38,3,5,6,9,12,7
39,3,6,6,5,7,16
40,2,5,12,10,10,12
41,3,9,4,8,10,5
42,4,6,4,6,5,11
43,2,4,4,11,8,9
44,5,5,5,8,12,4
45,3,4,7,9,4,12
46,1,1,10,10,9,10
47,4,3,4,7,10,8
48,4,6,7,13,14,10
49,4,5,6,8,14,9
50,7,5,6,14,9,12
51,2,3,11,11,11,12
52,5,7,6,7,8,12
53,3,5,5,6,5,12
