week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,2,0,0,1,3,4,6,2,7,14,29,41,61,90,119,112,192,273,384
2,6,0,1,0,4,0,4,6,6,18,26,28,35,72,104,125,204,249,355
3,5,1,0,0,2,4,5,11,13,13,30,38,55,70,112,128,221,281,334
4,12,0,1,2,4,2,5,4,13,18,28,42,58,79,103,134,216,241,389
5,8,0,2,1,5,3,3,5,9,18,32,38,54,77,101,116,220,259,394
6,3,0,0,0,3,6,6,8,11,12,25,45,58,69,134,121,227,247,365
7,9,1,1,2,3,3,5,9,10,18,30,35,48,74,104,124,196,261,380
8,4,2,3,3,2,4,2,7,11,12,27,43,62,91,126,149,213,271,348
9,1,2,0,1,1,2,5,7,6,19,31,40,52,72,115,140,199,258,369
10,7,1,0,0,4,0,4,6,6,18,39,39,57,103,113,138,205,247,368
11,7,0,0,3,4,4,5,8,5,13,22,46,43,87,110,132,198,259,332
12,6,0,1,4,2,4,1,5,12,19,19,41,63,76,104,130,189,250,368
13,5,1,0,1,3,6,2,5,10,12,27,43,46,74,82,130,228,251,343
14,4,0,0,2,3,6,2,7,7,13,22,27,43,76,108,105,173,277,367
15,7,1,1,2,1,5,4,11,9,13,37,24,42,66,112,134,183,228,344
16,7,0,0,1,1,4,11,5,7,15,19,40,53,86,97,113,172,218,290
17,5,1,1,1,1,4,4,3,7,15,31,34,41,73,94,147,181,228,304
18,5,1,1,1,5,9,3,6,6,14,29,32,57,73,103,129,172,247,279
19,2,0,0,1,3,4,3,2,9,14,27,44,63,74,105,106,165,224,303
20,12,1,2,0,0,4,6,7,7,15,21,28,51,70,107,108,169,240,328
21,5,0,1,2,0,3,3,5,5,13,24,27,56,76,112,136,187,256,316
22,8,0,1,1,2,0,1,10,8,12,16,35,49,72,102,117,190,247,279
23,4,1,0,1,5,3,4,4,5,19,26,44,42,71,100,111,166,219,279
24,9,1,1,1,3,2,2,6,6,18,23,41,59,85,103,120,181,212,240
25,7,0,0,2,2,3,3,2,8,19,35,32,49,93,97,138,204,232,311
26,14,0,1,0,3,2,5,3,15,18,32,35,39,72,109,119,172,245,288
27,8,0,0,3,4,6,4,0,6,16,22,37,48,65,95,115,180,243,240
28,12,1,0,2,1,11,4,7,11,10,19,30,58,75,85,127,174,245,292
29,6,1,1,0,1,4,8,5,6,14,25,49,47,77,105,138,217,239,292
30,7,0,0,3,3,3,8,5,9,18,30,34,45,65,122,104,177,255,293
31,5,0,0,2,1,9,4,5,7,23,23,43,68,73,90,111,171,207,271
32,7,0,2,4,3,4,6,3,5,20,32,46,52,65,98,125,170,230,278
33,8,2,0,5,2,4,4,4,6,9,22,37,47,74,95,117,197,249,284
34,4,0,0,0,2,0,2,5,11,12,23,34,49,63,105,111,222,228,260
35,3,0,0,2,4,10,4,6,14,15,24,40,50,64,84,128,171,218,300
36,9,0,0,2,3,4,2,5,8,16,40,35,62,56,108,116,193,239,286
37,5,1,1,0,2,5,6,5,8,18,32,22,40,75,91,118,176,233,265
38,10,0,1,2,3,2,0,9,14,13,29,35,54,78,120,125,168,208,309
39,5,0,1,2,3,4,3,5,5,10,17,46,71,85,110,134,178,240,293
40,11,0,3,3,3,2,4,8,7,9,33,36,71,75,104,128,205,261,323
41,9,0,0,2,1,3,1,10,9,16,40,32,55,86,108,132,207,226,334
42,11,0,1,1,3,4,2,5,6,15,21,54,42,77,110,137,190,237,361
43,4,1,0,0,1,4,5,2,6,18,24,43,61,76,98,147,197,251,292
44,5,0,1,0,4,5,3,7,11,19,31,48,45,71,109,143,206,272,333
45,5,0,0,1,4,1,7,7,5,20,27,39,56,69,99,140,207,297,302
46,4,0,1,0,1,2,4,1,10,14,30,49,53,75,124,119,231,271,364
47,3,0,0,1,3,3,3,6,11,12,19,30,44,80,92,127,168,276,315
48,6,1,0,0,3,3,3,8,8,16,33,34,65,82,131,147,226,243,322
49,7,0,1,3,2,6,9,3,7,19,27,34,42,82,117,156,192,241,346
50,5,0,0,0,3,2,2,4,12,13,32,41,53,86,113,142,206,239,348
51,13,1,1,2,5,3,5,5,11,12,28,47,60,85,107,170,217,272,402
52,2,2,1,2,0,9,1,7,8,18,39,38,45,91,133,172,229,350,442
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
