week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,2,3,2,2,1,6
2,2,1,0,2,5,6
3,2,2,1,1,3,2
4,0,1,3,2,3,5
5,2,0,2,4,4,4
6,1,3,4,6,1,2
7,1,1,0,1,6,1
8,2,0,1,2,2,3
9,2,7,3,1,3,4
10,1,2,5,2,2,3
11,2,4,0,2,1,4
12,0,0,3,1,4,5
13,1,2,2,3,3,7
14,0,0,1,2,2,4
15,0,4,3,0,2,7
16,1,0,2,4,2,5
17,0,0,0,2,2,0
18,0,2,3,0,1,2
19,2,1,0,3,1,2
20,0,1,2,1,4,4
21,1,2,2,0,4,3
22,1,1,1,7,4,2
23,0,3,1,2,2,1
24,0,2,2,3,3,2
25,1,0,1,1,1,4
26,0,1,1,2,0,1
27,0,2,0,3,5,1
28,2,1,2,2,5,2
29,0,1,3,0,4,3
30,3,1,2,1,2,2
31,2,0,0,1,2,2
32,0,2,2,2,2,0
33,0,0,0,1,2,4
34,0,1,1,1,2,2
35,2,1,0,0,2,1
36,1,2,2,1,1,4
37,0,1,1,2,1,4
38,1,0,0,1,1,4
39,1,2,1,2,3,1
40,1,1,3,1,5,4
41,3,1,1,4,2,4
42,2,0,4,5,1,10
43,1,1,1,4,6,3
44,0,2,1,1,4,3
45,0,1,1,2,1,1
46,1,0,4,1,0,1
47,2,1,0,0,2,1
48,2,1,1,2,2,1
49,1,0,2,3,3,5
50,1,1,1,4,2,4
51,2,2,1,1,5,6
52,0,2,1,5,6,4
53,0,0,0,0,0,0
