week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,0,0,0,0,2,0,3
2,0,0,0,0,0,0,0,0,0,0,0,0,3
3,0,0,0,0,0,0,0,0,0,1,0,0,1
4,0,0,0,0,0,0,0,0,1,0,1,2,2
5,0,0,0,0,1,0,0,1,0,0,0,1,0
6,0,0,0,0,0,0,0,0,0,0,1,1,1
7,0,0,0,0,0,0,0,0,0,0,1,1,0
8,1,0,0,0,0,0,0,0,0,0,0,1,3
9,0,0,0,0,0,0,0,0,0,2,0,2,3
10,0,0,0,0,0,0,0,0,0,0,1,1,2
11,0,0,0,0,0,0,0,0,0,0,1,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,4
13,0,0,0,0,0,1,0,0,0,2,0,1,2
14,0,0,0,0,0,0,0,0,0,1,0,0,1
15,0,0,0,0,0,0,0,1,1,0,2,0,2
16,0,0,0,0,0,0,0,0,0,0,2,2,1
17,0,0,0,0,0,0,1,1,0,1,1,1,0
18,2,0,0,0,0,0,1,0,0,0,0,1,2
19,0,0,0,0,0,0,0,0,1,2,2,3,2
20,1,0,0,0,0,0,0,0,0,1,0,1,1
21,0,0,0,0,0,1,0,0,0,1,1,0,0
22,0,0,0,0,0,0,0,0,0,0,0,1,1
23,0,1,0,0,1,0,0,0,0,0,1,1,0
24,0,0,0,0,0,0,0,0,0,3,0,0,1
25,1,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,2,1
27,0,0,0,0,0,0,0,0,0,1,0,1,0
28,0,0,0,0,0,1,1,0,0,0,2,2,2
29,0,0,0,0,0,0,0,0,0,0,0,2,0
30,0,0,0,0,0,0,0,0,0,0,1,2,0
31,0,0,0,0,0,0,0,0,0,1,0,2,2
32,0,0,0,0,0,0,0,0,0,0,1,2,4
33,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,1,2
35,0,0,0,0,0,0,0,0,1,0,1,1,3
36,0,0,0,0,0,0,0,0,0,0,1,1,2
37,0,0,0,0,0,0,0,1,0,0,0,0,0
38,0,0,0,0,0,0,0,0,1,0,1,0,3
39,1,0,0,0,0,0,0,0,0,0,0,1,1
40,0,0,0,1,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0,0,1,1,1,3
42,0,0,0,0,0,0,0,1,0,0,1,0,0
43,0,0,0,0,0,0,0,1,0,0,0,0,2
44,0,0,0,0,1,0,0,0,0,1,1,1,0
45,0,0,0,0,0,0,1,1,0,0,1,3,0
46,0,0,0,0,0,0,0,0,1,0,1,1,1
47,0,0,0,0,0,1,0,0,0,1,0,0,1
48,0,0,0,0,0,0,0,1,2,1,1,0,1
49,0,0,0,0,0,1,0,0,1,0,0,4,1
50,0,0,0,0,0,0,0,0,2,0,1,0,0
51,0,0,0,0,0,0,0,0,0,1,1,0,1
52,0,0,0,0,0,0,0,0,0,0,1,1,1
53,0,0,0,0,0,0,0,0,0,0,0,0,0
