week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,1,2,0,1,1,0
2,1,1,1,1,0,1
3,0,0,1,0,1,1
4,2,1,1,0,2,3
5,0,1,1,0,1,2
6,0,2,0,1,2,0
7,0,2,2,1,2,2
8,0,0,0,1,0,2
9,1,0,0,2,1,1
10,0,0,1,3,0,2
11,1,1,0,1,2,0
12,0,2,0,1,2,0
13,1,1,0,2,0,1
14,0,1,0,2,3,1
15,0,0,1,3,1,5
16,1,0,1,1,0,0
17,1,1,2,1,1,1
18,1,0,0,0,2,1
19,1,1,0,1,0,2
20,0,1,3,2,4,0
21,0,1,1,1,3,2
22,0,1,1,1,1,0
23,2,2,0,0,0,0
24,0,0,0,1,0,0
25,1,0,1,0,1,1
26,0,1,1,0,2,1
27,0,0,0,0,1,1
28,0,0,2,1,2,0
29,1,0,0,1,0,1
30,0,0,0,0,3,1
31,0,0,0,1,0,3
32,0,0,1,1,1,1
33,0,1,3,0,0,1
34,1,1,0,1,1,1
35,1,0,0,0,0,0
36,0,0,1,1,1,1
37,0,1,0,2,1,2
38,2,0,1,2,1,2
39,1,1,2,1,2,2
40,1,0,1,0,0,2
41,0,0,0,2,0,0
42,0,0,0,0,1,0
43,1,1,1,2,2,1
44,3,1,0,2,3,1
45,0,0,1,1,0,0
46,1,0,0,3,0,1
47,0,0,0,0,0,0
48,1,1,1,2,2,2
49,0,0,1,0,2,0
50,2,0,2,0,1,2
51,0,0,1,1,0,1
52,0,1,0,1,1,0
53,0,0,0,0,0,0
