week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,5,7,9,5,17,23
2,4,3,5,3,14,17
3,4,7,11,17,26,19
4,5,5,9,17,20,26
5,10,3,2,13,18,26
6,4,7,10,11,16,20
7,3,3,14,5,12,25
8,7,7,10,11,12,13
9,3,5,10,12,17,16
10,9,8,8,15,18,21
11,4,8,9,10,20,17
12,4,10,12,9,18,27
13,3,8,13,12,10,26
14,5,4,6,24,14,25
15,6,8,11,12,17,24
16,5,3,5,7,13,28
17,6,2,4,9,10,12
18,9,5,12,10,14,14
19,6,6,14,7,13,17
20,1,6,7,10,18,22
21,5,8,8,4,11,12
22,6,7,6,4,17,20
23,7,8,7,9,10,13
24,3,9,13,12,9,12
25,7,4,11,8,6,21
26,4,6,9,4,16,18
27,5,8,8,5,21,16
28,13,1,11,11,10,18
29,1,8,7,8,15,24
30,6,3,4,8,13,15
31,9,4,6,13,13,16
32,5,4,4,18,14,13
33,1,4,7,10,12,11
34,7,9,7,16,4,17
35,3,6,11,10,6,16
36,5,7,7,11,13,7
37,4,5,9,11,10,15
38,5,9,8,9,25,17
39,3,9,13,15,15,14
40,6,3,11,15,12,20
41,5,5,7,9,11,21
42,8,5,7,13,13,20
43,5,5,10,10,16,19
44,3,8,10,17,15,18
45,2,7,5,10,13,23
46,5,4,8,18,17,21
47,2,5,7,13,22,17
48,6,7,10,12,15,26
49,2,4,10,8,15,23
50,3,10,12,16,16,20
51,1,8,10,12,19,13
52,6,9,14,12,21,33
53,0,0,0,0,0,0
