week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,0,3,3,3,4,4
2,2,0,4,0,3,3
3,1,0,2,1,2,3
4,1,1,2,0,3,6
5,1,1,2,5,3,4
6,0,2,3,3,3,3
7,0,1,0,2,2,7
8,0,0,2,4,1,6
9,0,4,2,3,3,3
10,1,2,3,5,5,2
11,2,0,3,2,1,6
12,2,0,2,2,2,5
13,0,3,0,2,1,8
14,0,0,0,2,7,3
15,0,2,1,3,2,4
16,0,2,4,3,4,3
17,0,0,1,2,4,5
18,0,2,1,1,3,3
19,2,1,1,0,2,1
20,0,3,0,3,3,5
21,0,3,1,2,2,4
22,1,0,1,5,3,4
23,2,0,1,3,2,3
24,0,0,1,4,2,3
25,1,4,4,2,6,4
26,2,3,2,4,3,2
27,0,0,0,2,4,4
28,2,0,0,2,2,5
29,3,0,1,3,5,4
30,0,3,0,3,4,2
31,0,0,1,2,2,3
32,1,0,2,2,1,5
33,1,0,0,2,3,3
34,1,0,0,3,2,1
35,1,1,1,0,1,3
36,1,0,3,2,2,3
37,1,1,1,2,3,4
38,0,0,1,2,3,6
39,1,2,2,2,1,4
40,1,0,0,3,1,5
41,2,2,0,5,3,4
42,1,1,4,2,1,7
43,0,2,3,2,4,2
44,1,4,1,7,4,4
45,0,3,1,1,2,3
46,1,3,1,4,1,3
47,0,0,2,1,5,1
48,1,4,0,2,3,1
49,3,0,1,2,2,4
50,0,0,2,0,5,3
51,1,1,1,1,8,5
52,1,0,2,6,6,4
53,0,0,0,0,0,0
