week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,6,4,4,13,14,24
2,2,5,4,17,9,25
3,2,5,7,9,7,18
4,2,11,3,5,7,19
5,5,6,11,8,9,10
6,3,4,2,7,18,19
7,6,5,7,15,14,17
8,6,7,8,9,15,17
9,5,8,11,13,10,17
10,3,6,4,8,15,14
11,3,3,5,11,17,16
12,2,6,8,11,6,19
13,3,1,6,14,13,21
14,6,4,6,7,13,16
15,4,3,7,5,6,20
16,5,5,6,9,11,10
17,5,7,7,6,13,17
18,7,4,4,11,9,19
19,4,8,5,8,8,17
20,4,5,5,4,8,20
21,4,5,6,9,11,17
22,2,6,7,7,5,6
23,2,4,4,7,12,13
24,2,8,6,8,12,12
25,6,6,6,6,15,17
26,3,11,6,8,11,16
27,0,3,3,9,11,20
28,2,5,6,9,10,15
29,3,4,3,11,11,11
30,2,7,4,7,11,20
31,1,2,1,6,6,10
32,4,2,6,13,9,15
33,3,6,5,6,11,16
34,1,8,7,6,8,15
35,5,4,6,8,9,18
36,2,2,10,15,13,15
37,4,5,9,2,6,5
38,3,4,7,8,9,13
39,1,5,5,14,4,13
40,3,6,7,6,10,21
41,3,1,8,10,10,16
42,3,8,7,8,12,11
43,2,3,7,5,10,11
44,1,6,7,6,12,18
45,3,3,8,8,20,20
46,2,5,3,9,11,19
47,7,4,9,7,12,14
48,2,7,7,19,13,13
49,0,5,8,3,12,27
50,6,4,7,11,11,15
51,7,5,10,10,12,25
52,5,8,6,8,15,33
53,0,0,0,0,0,0
