week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,0,2,2,3,2,2
2,1,2,3,3,4,9
3,0,1,3,1,3,5
4,1,2,0,2,5,6
5,0,0,1,4,3,3
6,0,3,2,6,1,1
7,0,1,2,4,1,4
8,1,1,1,1,1,3
9,1,3,3,1,2,0
10,1,0,2,4,6,6
11,1,0,0,1,6,6
12,1,2,0,0,0,6
13,2,2,2,3,3,2
14,1,1,1,1,6,2
15,1,2,1,3,2,2
16,0,3,1,0,1,4
17,0,1,1,6,0,5
18,0,5,3,3,4,2
19,0,2,1,1,2,3
20,1,1,0,1,7,2
21,1,1,0,4,5,3
22,1,1,1,3,6,4
23,0,0,1,2,5,0
24,3,2,2,2,1,0
25,0,1,4,3,1,1
26,0,1,3,1,2,6
27,0,0,1,2,3,2
28,1,0,1,3,3,3
29,0,0,2,6,1,0
30,0,2,0,5,7,1
31,0,0,0,4,3,3
32,1,1,4,2,0,2
33,2,0,2,3,3,4
34,0,0,2,4,1,2
35,0,2,1,5,3,3
36,2,3,2,1,4,6
37,0,1,0,2,1,6
38,1,0,2,1,5,1
39,1,0,2,0,3,5
40,1,3,4,2,4,1
41,2,0,2,2,3,2
42,2,0,3,2,3,6
43,2,1,0,0,3,5
44,1,3,2,3,1,4
45,0,0,5,3,3,5
46,0,1,0,3,5,3
47,0,1,1,1,7,5
48,3,2,2,1,3,4
49,0,2,2,0,3,5
50,2,1,1,1,0,7
51,0,1,1,1,4,5
52,0,0,2,2,4,5
53,0,0,0,0,0,0
