week,Y50T54,Y55T59,Y60T64,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,29,41,61,90,119,112,192,273,384
2,26,28,35,72,104,125,204,249,355
3,30,38,55,70,112,128,221,281,334
4,28,42,58,79,103,134,216,241,389
5,32,38,54,77,101,116,220,259,394
6,25,45,58,69,134,121,227,247,365
7,30,35,48,74,104,124,196,261,380
8,27,43,62,91,126,149,213,271,348
9,31,40,52,72,115,140,199,258,369
10,39,39,57,103,113,138,205,247,368
11,22,46,43,87,110,132,198,259,332
12,19,41,63,76,104,130,189,250,368
13,27,43,46,74,82,130,228,251,343
14,22,27,43,76,108,105,173,277,367
15,37,24,42,66,112,134,183,228,344
16,19,40,53,86,97,113,172,218,290
17,31,34,41,73,94,147,181,228,304
18,29,32,57,73,103,129,172,247,279
19,27,44,63,74,105,106,165,224,303
20,21,28,51,70,107,108,169,240,328
21,24,27,56,76,112,136,187,256,316
22,16,35,49,72,102,117,190,247,279
23,26,44,42,71,100,111,166,219,279
24,23,41,59,85,103,120,181,212,240
25,35,32,49,93,97,138,204,232,311
26,32,35,39,72,109,119,172,245,288
27,22,37,48,65,95,115,180,243,240
28,19,30,58,75,85,127,174,245,292
29,25,49,47,77,105,138,217,239,292
30,30,34,45,65,122,104,177,255,293
31,23,43,68,73,90,111,171,207,271
32,32,46,52,65,98,125,170,230,278
33,22,37,47,74,95,117,197,249,284
34,23,34,49,63,105,111,222,228,260
35,24,40,50,64,84,128,171,218,300
36,40,35,62,56,108,116,193,239,286
37,32,22,40,75,91,118,176,233,265
38,29,35,54,78,120,125,168,208,309
39,17,46,71,85,110,134,178,240,293
40,33,36,71,75,104,128,205,261,323
41,40,32,55,86,108,132,207,226,334
42,21,54,42,77,110,137,190,237,361
43,24,43,61,76,98,147,197,251,292
44,31,48,45,71,109,143,206,272,333
45,27,39,56,69,99,140,207,297,302
46,30,49,53,75,124,119,231,271,364
47,19,30,44,80,92,127,168,276,315
48,33,34,65,82,131,147,226,243,322
49,27,34,42,82,117,156,192,241,346
50,32,41,53,86,113,142,206,239,348
51,28,47,60,85,107,170,217,272,402
52,39,38,45,91,133,172,229,350,442
53,0,0,0,0,0,0,0,0,0
