week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,8,3,7,14,16,26
2,5,7,5,5,14,19
3,6,7,10,9,21,18
4,5,5,13,10,22,28
5,1,5,11,7,19,17
6,3,5,5,16,18,17
7,6,7,8,8,12,24
8,4,3,8,10,13,12
9,2,4,2,9,18,26
10,1,3,6,6,14,17
11,3,4,5,8,11,16
12,5,3,7,14,9,21
13,4,7,3,6,7,17
14,3,2,4,8,12,12
15,5,4,8,9,19,16
16,3,3,5,8,9,16
17,1,5,7,12,8,12
18,2,7,5,14,11,19
19,2,8,3,10,13,13
20,3,2,8,10,15,12
21,2,3,8,9,10,18
22,3,6,4,10,7,8
23,2,6,4,5,9,12
24,3,3,4,11,15,19
25,4,2,5,6,12,13
26,7,6,5,11,12,11
27,5,1,2,9,10,8
28,2,7,6,7,10,9
29,2,7,6,11,10,16
30,3,4,4,6,10,11
31,5,3,2,9,5,9
32,2,4,5,12,10,9
33,1,3,6,10,13,11
34,4,8,5,9,15,6
35,2,2,5,5,11,7
36,5,5,1,8,13,11
37,5,1,5,9,7,18
38,6,7,4,7,20,17
39,4,4,5,9,16,16
40,6,5,3,15,11,12
41,2,1,8,12,21,21
42,5,2,8,9,12,16
43,2,8,7,10,12,13
44,4,7,6,7,9,12
45,2,8,5,12,9,20
46,4,4,6,14,7,12
47,3,5,4,9,12,25
48,2,10,7,5,14,16
49,3,4,8,13,16,15
50,0,7,6,11,13,13
51,2,7,6,12,16,10
52,3,6,6,3,11,13
53,0,0,0,0,0,0
