week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,3,5,4,7,11,13
2,2,1,4,4,6,12
3,6,2,3,5,10,11
4,0,5,3,6,4,16
5,3,0,4,2,8,17
6,1,2,3,4,12,16
7,1,3,4,7,10,4
8,1,6,3,6,9,13
9,3,4,4,4,8,11
10,1,2,4,7,4,6
11,2,2,2,10,4,7
12,1,3,1,5,6,12
13,3,5,6,5,4,5
14,1,4,3,4,6,6
15,2,1,0,3,6,6
16,3,2,2,4,5,6
17,1,3,3,4,5,9
18,0,1,1,4,5,11
19,2,2,1,3,3,5
20,0,5,5,5,6,10
21,4,3,4,6,8,10
22,1,2,1,6,3,4
23,3,2,2,3,8,8
24,3,5,2,2,8,11
25,2,4,3,0,6,5
26,4,1,4,2,8,8
27,2,1,3,5,3,9
28,1,2,2,4,13,8
29,0,0,2,4,6,5
30,0,2,2,4,7,5
31,2,1,1,3,4,4
32,4,2,3,3,8,11
33,2,1,0,2,6,5
34,2,4,2,9,4,14
35,1,4,3,5,2,9
36,4,1,4,3,2,7
37,2,1,2,7,7,4
38,0,1,3,2,4,6
39,0,3,3,3,1,9
40,3,3,4,6,6,10
41,3,1,3,3,7,7
42,0,3,5,3,5,6
43,2,0,1,4,6,5
44,2,2,3,5,5,12
45,0,4,4,5,5,10
46,3,3,2,7,11,9
47,2,4,4,5,9,8
48,1,2,7,5,4,8
49,3,4,2,7,6,12
50,4,6,2,6,9,11
51,5,3,2,7,8,6
52,2,5,2,7,6,10
53,0,0,0,0,0,0
