week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,0,0,0,0,0,2,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,1,1,0
4,0,0,0,0,0,0,0,0,0,0,2,0,2
5,0,0,0,0,0,0,0,0,0,0,0,1,2
6,1,0,0,0,0,0,0,0,0,1,2,0,2
7,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,1,0,1
11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,1,1
13,0,0,0,0,0,0,0,0,1,0,1,0,0
14,0,0,0,0,0,0,0,0,1,0,0,1,0
15,0,0,0,1,1,0,0,0,0,0,0,2,1
16,0,0,0,0,0,0,0,1,0,0,2,1,0
17,0,0,0,0,0,0,0,0,0,1,1,1,1
18,0,0,0,0,0,0,0,0,0,1,1,0,2
19,0,0,0,0,0,0,0,0,1,0,0,2,1
20,0,0,0,0,0,0,0,1,0,0,1,2,0
21,0,0,0,0,0,0,0,0,0,0,1,0,2
22,1,0,0,0,0,0,0,0,0,0,0,1,0
23,0,0,0,0,0,0,0,1,0,0,0,0,2
24,0,0,0,0,0,0,0,0,0,0,0,0,1
25,0,0,0,1,0,0,0,1,0,0,0,0,1
26,0,0,0,0,0,0,0,0,0,0,1,0,3
27,0,0,0,0,0,0,0,0,0,0,0,1,1
28,0,0,0,0,0,0,0,0,0,0,1,0,0
29,0,0,0,0,0,0,0,0,1,0,1,1,1
30,0,0,0,0,0,0,0,0,0,0,0,1,1
31,0,0,0,0,0,0,0,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,0,1,0,0,1
33,0,0,0,0,0,1,0,1,0,0,0,0,2
34,0,0,0,0,0,0,0,0,0,1,0,0,1
35,0,0,0,0,1,0,0,0,0,0,0,0,1
36,0,0,0,0,0,0,0,0,0,1,0,0,0
37,0,0,0,0,0,0,0,0,0,1,0,2,1
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,1,0,3
43,0,0,0,0,0,0,0,0,0,0,0,0,3
44,0,0,0,0,0,0,1,0,0,0,1,2,0
45,1,0,1,0,0,0,0,0,0,0,0,0,1
46,0,0,0,0,0,0,0,0,1,0,0,1,1
47,0,0,0,0,0,0,0,0,0,0,1,1,1
48,1,0,0,0,0,0,0,0,0,1,2,1,0
49,0,0,0,1,1,0,0,0,0,0,0,1,2
50,0,0,0,0,0,0,0,0,0,0,0,0,1
51,0,0,0,0,0,0,0,0,1,0,0,1,1
52,0,0,0,0,0,0,0,0,0,1,0,1,2
53,0,0,0,0,0,0,0,0,0,0,0,0,0
