week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,2,1,0,0,0,0,3,3,1
2,0,0,0,0,0,1,0,0,0,3,2,1,4
3,2,0,0,0,0,0,1,1,0,1,1,5,1
4,0,0,0,0,0,0,3,1,1,2,3,2,3
5,1,0,0,0,0,2,1,0,1,1,1,5,6
6,0,0,0,0,0,0,1,1,0,1,2,4,4
7,0,0,0,0,0,0,0,1,0,0,1,3,3
8,1,0,0,0,0,0,0,1,1,2,0,4,2
9,0,0,0,0,0,0,0,0,0,0,2,6,4
10,1,0,0,0,0,1,0,0,3,1,3,5,7
11,0,1,0,1,0,1,1,0,1,1,4,4,6
12,0,0,0,1,1,0,1,2,1,4,2,7,3
13,0,0,0,0,0,0,1,1,3,1,1,0,3
14,1,0,0,0,1,2,0,1,1,3,0,3,4
15,0,1,0,0,0,0,0,0,1,2,2,5,8
16,0,0,0,0,0,0,0,1,1,2,4,2,7
17,0,0,0,0,1,0,0,0,0,0,4,6,6
18,1,0,0,0,1,0,0,0,1,1,5,3,8
19,1,0,1,0,0,0,0,1,1,0,0,3,6
20,0,0,0,0,1,0,0,0,0,2,8,2,5
21,0,0,0,0,1,0,0,0,2,1,1,1,2
22,0,0,0,0,2,1,1,1,1,2,4,2,4
23,1,0,0,0,1,0,1,1,0,2,1,1,5
24,0,0,0,0,0,0,0,2,1,2,0,5,5
25,2,0,0,0,0,1,0,0,0,0,4,6,4
26,0,0,0,0,0,0,0,2,0,4,1,4,1
27,1,0,0,0,0,0,1,1,2,4,2,5,4
28,0,0,0,1,0,0,1,1,2,4,3,0,2
29,1,1,0,0,0,0,3,0,2,1,3,2,3
30,1,0,0,0,0,0,0,1,0,1,4,1,2
31,0,0,1,2,0,0,0,0,0,1,2,2,6
32,0,0,0,0,0,0,0,1,1,2,1,4,4
33,0,0,0,0,1,0,1,0,2,2,1,1,2
34,2,0,0,0,1,1,1,0,2,3,1,2,6
35,0,0,0,0,0,0,1,1,1,4,3,3,7
36,1,0,0,0,1,0,1,2,1,1,3,1,0
37,1,0,0,0,0,1,0,2,0,1,0,6,4
38,0,0,0,0,0,1,0,0,0,1,3,2,1
39,1,0,0,0,0,0,1,1,0,3,4,5,2
40,0,0,0,1,1,0,0,2,0,3,5,4,4
41,0,0,0,0,0,0,0,1,1,4,1,1,7
42,0,0,0,1,0,0,1,0,1,0,4,4,2
43,1,0,0,0,0,1,0,0,1,1,1,2,4
44,0,0,0,0,1,0,2,1,1,0,3,7,3
45,2,0,0,0,0,2,0,1,3,2,2,2,4
46,0,0,0,0,0,1,0,0,0,0,2,3,5
47,0,0,0,1,0,0,0,0,0,4,4,3,6
48,1,0,0,0,0,0,0,0,1,1,4,3,5
49,1,0,1,0,0,0,0,0,2,1,3,6,6
50,3,0,1,0,2,0,0,0,1,1,5,2,5
51,2,0,0,0,0,0,0,0,0,0,3,4,4
52,3,0,0,0,1,1,0,0,0,0,2,2,5
53,0,0,0,0,0,0,0,0,0,0,0,0,0
