week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,5,4,6,21,27,40
2,7,5,9,23,26,18
3,8,10,11,13,25,37
4,7,8,7,15,15,33
5,2,8,7,15,18,27
6,0,7,12,17,24,32
7,8,8,17,15,25,24
8,5,2,8,24,17,22
9,6,11,13,16,28,31
10,5,8,10,14,32,25
11,8,5,13,12,25,29
12,9,12,12,23,15,23
13,4,8,9,11,10,26
14,8,5,12,26,15,24
15,7,9,10,9,15,17
16,3,15,8,15,18,18
17,7,9,11,11,15,16
18,4,3,15,12,17,28
19,13,5,7,9,25,22
20,11,6,15,12,17,18
21,3,3,10,14,20,21
22,7,7,10,18,13,18
23,4,7,9,18,19,17
24,2,7,9,16,13,22
25,3,9,10,11,17,28
26,1,10,11,13,11,21
27,3,13,15,10,16,20
28,5,10,5,4,16,17
29,8,5,9,8,16,14
30,7,7,12,14,20,18
31,5,3,12,12,17,22
32,4,6,9,19,18,19
33,6,7,9,12,14,16
34,3,5,11,13,9,19
35,5,10,9,11,14,29
36,4,5,6,11,22,15
37,3,6,4,11,17,17
38,3,7,6,13,11,18
39,4,5,5,13,16,22
40,9,5,11,13,11,19
41,6,2,9,9,14,20
42,4,8,10,16,28,11
43,4,5,17,19,16,24
44,7,9,15,16,19,15
45,6,12,14,11,15,14
46,6,15,9,8,16,13
47,7,6,6,15,22,36
48,8,5,8,21,17,16
49,10,8,12,16,25,26
50,5,12,14,11,22,19
51,4,5,12,13,23,15
52,9,6,14,11,12,23
53,0,0,0,0,0,0
