week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,1,0,1,0,0,1,0,2,1,1,6,3,5
2,1,0,0,1,0,0,2,2,1,4,0,3,2
3,1,0,0,0,0,2,1,1,0,2,4,3,5
4,0,0,0,0,1,0,0,0,1,4,2,3,7
5,0,0,0,0,0,0,0,0,0,0,2,6,5
6,1,0,0,0,0,0,0,1,1,2,0,3,8
7,0,0,0,0,0,0,1,0,0,1,1,3,6
8,2,0,0,0,0,0,0,2,0,3,2,2,10
9,0,0,0,0,2,0,1,0,0,2,2,5,9
10,0,0,0,0,0,0,0,0,0,1,4,4,5
11,0,0,1,1,0,0,0,1,1,1,3,4,5
12,0,0,0,0,0,0,0,0,0,0,1,2,3
13,2,0,0,0,0,0,0,2,0,1,5,2,2
14,1,0,0,0,0,0,0,0,0,0,0,4,6
15,2,0,0,0,0,1,0,0,1,2,7,5,3
16,1,0,0,0,1,0,0,0,1,0,1,3,6
17,0,0,0,0,1,1,0,1,0,1,2,0,3
18,1,0,0,0,0,0,0,0,0,0,1,6,2
19,0,1,0,0,0,0,1,1,2,2,3,3,4
20,2,0,0,0,0,0,2,0,1,3,0,4,7
21,1,0,0,0,0,0,0,0,0,0,1,5,3
22,0,0,0,0,2,0,0,0,1,0,2,5,6
23,1,0,0,1,1,0,1,0,1,0,3,2,5
24,0,0,0,0,0,1,0,0,0,0,2,6,4
25,1,0,0,1,1,0,0,0,0,3,2,5,2
26,0,0,0,1,1,0,1,1,0,1,1,1,2
27,2,1,0,0,2,1,2,0,0,1,4,0,4
28,0,0,0,0,0,0,0,0,4,1,2,3,4
29,0,0,0,1,1,1,0,0,2,0,3,6,3
30,0,0,0,0,1,0,0,0,0,0,1,7,5
31,0,0,0,0,0,1,0,0,0,1,1,6,4
32,0,0,0,0,0,1,0,0,1,1,1,0,2
33,0,0,0,0,0,2,0,0,4,0,2,1,5
34,0,0,1,1,0,0,0,1,3,1,1,2,6
35,1,0,0,0,1,1,0,0,2,1,5,2,6
36,2,0,0,0,0,0,0,2,0,2,3,2,7
37,1,0,0,0,0,0,0,0,2,1,4,2,2
38,1,0,0,1,1,0,0,1,2,3,2,4,6
39,1,0,0,0,1,0,1,0,0,0,3,1,8
40,0,0,0,0,0,0,0,1,1,0,1,3,5
41,0,0,0,0,0,0,0,0,0,0,4,2,2
42,0,0,0,0,1,0,2,0,1,2,0,3,3
43,0,0,0,0,0,0,1,0,0,0,2,3,2
44,1,0,0,0,1,0,0,0,2,1,0,3,2
45,0,0,0,1,0,0,0,1,0,0,3,1,1
46,0,0,0,0,0,0,1,0,1,0,3,4,4
47,1,0,0,1,0,0,0,0,1,0,4,4,4
48,0,0,0,0,0,0,0,0,0,0,1,8,4
49,1,0,0,0,0,0,0,1,0,3,2,6,7
50,3,0,0,0,1,0,0,0,1,2,4,5,6
51,2,0,0,0,0,0,1,2,0,1,5,2,3
52,0,0,1,0,0,0,0,1,0,0,2,1,9
53,0,0,0,0,0,0,0,0,0,0,0,0,0
