week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,3,4,12,10,13,33
2,2,5,12,12,15,25
3,2,6,6,20,10,27
4,2,6,16,10,13,12
5,6,9,5,14,15,22
6,4,1,3,12,11,17
7,7,5,5,13,10,25
8,6,2,5,11,12,22
9,3,8,7,12,22,24
10,7,6,5,13,16,29
11,1,4,8,8,11,23
12,4,10,8,9,11,17
13,5,7,4,9,15,22
14,1,5,7,11,12,21
15,1,3,5,14,7,17
16,4,5,1,13,9,17
17,0,3,6,10,10,17
18,4,11,5,5,11,19
19,2,4,10,10,10,30
20,1,6,11,10,11,13
21,2,5,7,7,18,18
22,4,3,10,5,12,14
23,0,7,4,6,14,21
24,2,4,9,9,9,21
25,2,11,10,10,9,10
26,5,2,9,10,3,26
27,2,10,2,7,6,17
28,5,4,8,3,15,19
29,4,6,8,9,15,14
30,2,3,11,14,6,18
31,6,1,7,13,16,17
32,3,5,5,7,10,15
33,2,3,4,4,11,16
34,0,3,4,8,10,11
35,3,5,4,8,10,12
36,2,4,7,8,9,17
37,4,7,5,6,17,28
38,2,5,6,6,11,14
39,2,9,3,12,13,22
40,5,7,10,7,18,16
41,3,5,6,10,13,23
42,2,8,4,9,10,23
43,3,2,9,10,13,24
44,4,3,6,8,14,22
45,3,2,3,8,17,18
46,2,7,6,14,14,16
47,2,5,7,9,12,13
48,2,5,7,8,12,24
49,2,4,8,8,13,22
50,2,4,7,18,11,18
51,3,2,6,9,12,23
52,0,6,8,10,21,22
53,0,0,0,0,0,0
