week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,1,1,0,3,0,3,4
2,0,0,0,0,0,0,0,0,0,0,1,1,1
3,0,0,0,0,0,0,0,0,0,0,0,2,1
4,0,0,0,0,0,0,0,1,0,0,1,1,4
5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,2,1,3,2
7,0,0,0,0,0,0,0,0,0,0,2,2,1
8,1,0,0,0,0,1,0,0,0,2,1,1,3
9,0,0,1,0,0,0,0,0,0,1,2,4,2
10,0,0,0,0,0,2,0,0,1,2,0,0,0
11,0,0,0,0,0,0,0,0,0,0,2,2,4
12,0,0,0,0,0,0,0,0,1,0,3,0,0
13,0,0,0,0,0,0,0,0,0,1,1,2,1
14,0,0,0,0,0,0,0,0,0,0,0,0,4
15,0,0,0,0,0,0,0,0,0,0,0,1,3
16,0,0,0,0,0,0,0,0,1,0,2,4,1
17,0,0,0,0,0,0,0,0,0,1,2,2,3
18,0,0,0,0,0,0,0,0,0,3,0,2,1
19,0,0,0,0,0,0,0,0,0,0,1,0,6
20,1,0,0,0,0,0,0,0,2,0,1,1,3
21,0,0,0,0,0,0,0,0,2,0,0,2,1
22,0,0,0,0,0,0,0,0,0,0,2,1,4
23,0,0,0,0,0,0,0,0,0,1,2,2,1
24,0,0,0,0,0,0,0,0,0,0,1,1,1
25,1,0,0,0,0,0,0,0,0,1,0,1,1
26,2,0,0,1,1,0,0,0,0,1,1,2,0
27,0,0,0,0,0,0,1,0,1,0,2,1,2
28,0,0,0,0,1,1,0,0,0,0,0,0,1
29,0,0,0,0,1,0,0,0,1,0,0,0,1
30,0,0,0,0,0,0,1,0,0,1,5,1,1
31,0,0,0,0,0,0,0,0,0,1,6,2,7
32,0,0,0,0,0,0,0,2,0,0,1,1,6
33,0,0,0,0,0,0,0,0,1,0,1,0,3
34,0,0,0,0,0,0,0,0,0,1,2,1,2
35,0,0,0,1,0,0,0,1,1,1,2,0,3
36,0,0,0,0,0,0,0,0,0,0,0,1,3
37,0,0,0,0,0,0,0,0,0,1,0,1,3
38,1,0,0,0,0,0,0,0,0,1,0,2,2
39,0,0,0,0,0,0,0,0,1,2,3,2,2
40,0,0,0,0,0,0,0,0,0,1,0,2,4
41,0,0,0,0,0,0,0,0,0,0,3,1,4
42,1,0,0,0,0,0,0,0,0,0,0,3,1
43,0,0,0,0,0,0,0,0,0,0,1,1,2
44,0,0,0,0,0,0,0,0,0,0,1,0,3
45,1,0,0,1,0,0,0,1,1,0,4,1,4
46,0,0,0,0,0,0,0,0,1,0,0,2,3
47,0,0,0,0,0,0,0,0,0,0,1,1,0
48,0,1,0,1,0,0,0,0,0,0,3,0,1
49,0,0,0,0,0,1,0,0,0,0,1,1,2
50,0,0,0,0,0,0,0,0,1,1,0,2,2
51,1,0,0,0,0,0,0,0,0,0,1,0,2
52,1,0,0,0,1,0,1,0,0,0,0,1,1
53,0,0,0,0,0,0,0,0,0,0,0,0,0
