week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,1,0,0,1,0,3,0,0,1,3,2,4,8
2,3,0,0,1,0,1,2,2,4,2,2,12,7
3,2,0,1,0,0,0,0,0,2,1,1,6,9
4,1,0,0,0,0,1,1,2,1,3,5,5,6
5,2,0,1,0,0,1,0,1,3,2,4,4,6
6,2,0,0,0,2,0,2,1,2,2,5,2,12
7,2,0,0,0,0,0,0,1,1,4,5,7,7
8,1,0,0,1,1,1,2,5,1,1,0,4,11
9,2,0,1,0,0,0,0,1,2,4,6,4,6
10,1,0,0,0,0,0,0,1,1,3,2,8,10
11,1,0,0,0,0,0,0,3,0,2,5,4,4
12,2,0,0,0,0,0,0,0,2,4,3,7,8
13,0,1,1,1,0,0,1,2,1,1,3,7,8
14,1,1,0,0,0,0,0,2,0,1,5,3,7
15,2,0,0,0,0,1,0,0,2,2,4,5,7
16,1,0,0,0,0,0,0,1,3,3,3,9,9
17,0,1,0,1,0,0,1,0,1,3,4,5,8
18,0,1,0,0,0,0,2,0,3,2,5,7,4
19,3,0,0,1,0,0,1,3,1,1,1,10,6
20,0,0,0,0,0,1,0,1,0,2,4,8,6
21,1,0,0,0,1,0,2,0,2,3,5,7,7
22,2,0,0,0,0,0,2,1,2,2,2,3,6
23,3,0,0,0,1,0,0,2,0,1,2,5,7
24,3,0,0,1,0,0,1,3,1,3,1,7,11
25,2,0,0,0,1,0,0,0,7,2,3,5,7
26,1,0,0,0,0,0,0,1,2,1,5,4,8
27,1,0,1,0,0,0,0,2,3,1,4,6,3
28,1,0,0,0,0,1,0,2,1,4,1,4,9
29,0,0,0,0,0,1,1,2,1,3,4,4,8
30,0,0,0,0,0,0,0,1,2,1,4,7,3
31,4,0,0,1,1,0,0,3,0,2,4,7,9
32,1,0,0,1,0,1,0,2,1,2,5,7,6
33,1,0,0,0,1,1,2,0,3,2,2,5,13
34,0,0,0,0,0,0,0,0,3,1,4,3,6
35,0,0,0,0,0,1,0,1,1,1,2,6,7
36,2,0,0,0,1,0,0,1,1,4,4,8,9
37,1,0,0,0,0,0,2,2,1,0,0,3,9
38,0,0,0,0,2,0,0,1,1,4,3,11,12
39,3,0,0,2,0,0,1,0,0,3,1,9,5
40,2,0,0,1,1,1,0,1,0,2,7,7,10
41,4,0,1,0,1,0,1,2,2,3,4,10,7
42,0,0,0,1,1,0,0,1,3,2,6,7,4
43,2,0,0,0,0,0,1,0,2,4,2,8,10
44,1,0,0,1,0,0,0,1,1,4,4,5,7
45,0,0,0,0,0,1,0,2,1,1,12,7,14
46,2,0,0,0,1,1,3,2,2,4,9,5,10
47,3,0,0,0,0,0,2,2,1,4,5,7,11
48,0,0,0,1,0,0,2,0,3,3,4,11,13
49,5,0,1,0,1,1,3,2,4,1,8,8,10
50,0,0,0,0,0,0,1,1,1,3,6,8,5
51,0,0,0,0,0,0,0,0,2,3,10,5,10
52,2,0,0,1,0,2,0,1,0,2,4,9,10
53,0,0,0,0,0,0,0,0,0,0,0,0,0
