week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,9,14,9,28,38,69
2,12,16,18,31,36,60
3,8,9,34,21,30,54
4,13,20,18,26,30,71
5,7,18,28,25,42,74
6,12,12,19,36,37,52
7,17,15,16,37,48,67
8,14,18,27,25,35,73
9,14,16,17,32,59,81
10,7,20,17,35,45,69
11,4,11,19,25,39,72
12,14,14,25,38,43,52
13,9,21,11,26,41,69
14,6,16,16,32,36,47
15,10,12,13,18,37,55
16,11,17,29,33,36,52
17,7,15,16,24,44,47
18,12,17,22,33,35,54
19,13,21,15,15,37,56
20,5,19,23,29,34,54
21,12,11,21,23,37,47
22,11,17,23,22,29,54
23,11,10,29,21,28,53
24,8,15,19,18,36,45
25,13,20,24,25,38,47
26,6,22,14,20,34,56
27,6,16,16,30,41,47
28,13,14,13,23,26,47
29,9,10,21,28,27,49
30,10,15,18,27,44,51
31,13,10,20,24,22,48
32,12,14,13,17,36,48
33,11,20,21,26,36,38
34,12,20,27,24,38,59
35,17,20,15,18,32,38
36,5,12,25,28,33,51
37,10,20,19,23,37,52
38,9,22,22,13,37,52
39,9,12,22,26,38,47
40,9,17,26,31,33,57
41,6,12,13,29,27,67
42,9,20,28,27,37,58
43,5,19,15,33,41,53
44,10,17,23,28,37,33
45,8,19,20,28,34,55
46,16,19,23,39,44,58
47,11,12,14,26,59,55
48,9,24,26,25,43,61
49,11,16,26,23,36,44
50,13,20,13,32,42,58
51,6,13,29,28,33,45
52,11,21,15,34,32,49
53,0,0,0,0,0,0
