week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,0,0,0,0,2,1,1
2,0,0,0,0,0,1,0,0,0,0,2,0,2
3,0,0,0,0,0,0,0,0,0,0,0,2,2
4,0,0,0,0,0,1,1,0,0,1,0,1,0
5,0,0,0,0,0,0,0,1,0,0,3,3,1
6,0,0,0,0,0,0,0,0,0,0,2,3,2
7,0,0,0,0,0,0,0,0,0,1,0,2,5
8,0,0,0,0,0,0,0,0,0,1,3,1,0
9,0,0,0,0,0,0,0,0,0,2,0,5,2
10,0,0,0,0,1,0,0,0,0,1,1,2,4
11,0,0,0,0,0,0,0,0,1,0,2,0,3
12,0,0,0,0,0,0,0,0,0,0,1,0,0
13,1,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,1,3,2,3
15,0,0,0,0,0,1,0,0,0,0,0,2,0
16,0,0,0,0,0,0,0,0,0,0,3,1,1
17,0,0,0,0,0,0,0,0,0,1,0,2,0
18,0,0,1,0,0,0,0,0,0,1,0,2,0
19,1,0,0,0,1,0,0,0,0,1,1,4,1
20,0,0,0,0,0,0,1,0,1,0,1,2,1
21,0,0,0,0,0,0,0,0,0,1,2,1,3
22,0,0,0,0,0,0,0,0,1,1,0,3,3
23,1,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,1,0,0,1,4
25,0,0,0,0,0,0,0,1,1,0,0,3,4
26,0,0,0,0,0,0,0,1,0,0,0,4,3
27,1,0,0,0,0,0,0,0,1,1,0,2,4
28,0,0,0,0,0,0,0,0,0,0,0,1,1
29,0,0,0,0,0,0,1,0,0,2,2,3,1
30,0,0,0,0,0,0,0,0,0,0,0,0,1
31,0,0,0,0,0,0,0,0,0,0,0,4,4
32,0,0,0,0,0,0,0,0,0,0,0,0,2
33,0,0,0,0,0,1,1,0,0,0,1,0,0
34,0,0,0,0,0,0,0,1,0,0,0,2,1
35,1,0,0,0,0,0,0,0,0,1,0,0,0
36,0,0,0,0,0,0,0,0,2,0,1,2,2
37,1,0,0,0,0,0,1,0,0,0,1,1,3
38,1,0,0,0,0,1,0,0,0,0,0,2,3
39,0,0,0,0,0,0,0,0,0,0,2,0,1
40,0,0,0,0,0,1,0,0,0,0,1,3,2
41,0,0,0,0,0,0,0,0,0,0,0,3,0
42,0,0,0,0,0,0,1,0,0,0,0,0,2
43,0,0,0,0,0,0,0,0,1,0,1,1,0
44,0,0,0,0,0,1,1,0,1,0,3,1,1
45,0,0,0,0,0,0,0,1,0,0,1,1,3
46,0,0,0,0,0,0,0,0,0,0,1,1,1
47,0,0,0,0,0,0,0,0,1,0,0,1,0
48,0,0,0,0,0,0,1,0,0,0,1,2,5
49,0,0,0,0,0,0,0,0,1,0,0,1,2
50,0,0,0,0,0,0,0,1,1,0,0,3,0
51,0,0,0,0,0,0,0,0,0,1,1,1,1
52,0,0,0,0,0,0,0,2,0,0,0,1,2
53,0,0,0,0,0,0,0,0,0,0,0,0,0
