week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,1,1,1,3,4,8
2,3,3,3,4,5,2
3,0,4,2,1,9,8
4,4,1,1,3,2,7
5,1,1,2,3,3,10
6,2,5,4,6,2,4
7,0,2,1,1,4,6
8,5,1,2,3,5,8
9,2,6,1,4,1,5
10,1,2,5,6,4,6
11,2,1,2,2,3,5
12,2,1,3,3,6,6
13,0,3,1,4,7,3
14,2,4,3,4,3,3
15,1,2,1,3,3,3
16,3,1,0,3,1,6
17,0,1,4,4,2,6
18,3,5,2,1,5,4
19,2,3,0,2,1,1
20,2,1,1,4,3,1
21,0,0,2,1,2,3
22,2,0,1,3,3,5
23,1,8,3,4,5,6
24,2,1,3,4,6,4
25,1,4,4,2,5,8
26,0,2,1,3,6,5
27,0,1,2,2,5,7
28,3,1,0,3,3,2
29,0,1,0,2,7,3
30,1,2,2,2,4,3
31,1,7,2,3,1,4
32,1,3,0,5,3,3
33,1,4,1,5,4,3
34,0,2,0,1,2,2
35,0,2,1,0,4,3
36,1,5,1,4,5,5
37,4,4,1,4,7,6
38,1,2,3,4,4,5
39,1,1,2,1,6,8
40,1,1,1,5,4,4
41,2,4,3,5,4,4
42,1,1,2,8,7,11
43,2,2,2,0,3,8
44,1,1,5,1,3,4
45,0,2,1,5,1,6
46,0,1,4,5,6,6
47,2,0,2,4,3,7
48,0,2,4,3,10,7
49,0,2,3,4,4,6
50,1,2,4,1,6,4
51,1,5,5,1,5,5
52,3,0,1,4,6,7
53,0,0,0,0,0,0
