week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,3,2,7,9,8,5
2,4,2,4,5,6,8
3,3,3,1,7,8,5
4,5,1,2,9,8,10
5,2,4,5,7,4,12
6,2,5,7,4,6,14
7,0,1,3,7,11,11
8,3,5,3,12,11,15
9,5,4,5,7,6,10
10,4,7,7,3,9,9
11,3,5,3,6,6,10
12,0,4,4,5,8,8
13,3,1,6,6,9,6
14,4,5,4,4,5,9
15,2,5,5,7,8,8
16,1,2,8,8,9,5
17,3,0,5,8,7,17
18,2,4,7,8,6,18
19,0,1,6,6,6,5
20,1,2,3,6,8,10
21,2,9,4,8,10,18
22,1,4,2,6,3,5
23,3,3,8,10,9,6
24,4,2,7,5,5,7
25,3,3,2,3,6,11
26,4,6,3,12,8,8
27,2,1,4,5,6,18
28,1,4,3,7,6,5
29,2,5,2,7,9,11
30,2,6,6,6,12,14
31,2,4,7,7,5,10
32,1,1,2,4,4,10
33,3,3,1,4,14,12
34,2,3,6,2,11,15
35,2,2,4,6,8,2
36,3,6,6,8,6,7
37,1,3,5,6,6,11
38,0,7,4,2,9,15
39,1,7,5,6,9,8
40,1,5,8,7,11,7
41,2,6,5,4,5,17
42,3,4,4,7,6,9
43,2,5,3,5,13,6
44,1,3,4,4,9,9
45,4,3,6,6,7,9
46,3,4,4,6,6,8
47,5,2,3,5,10,14
48,1,3,3,8,9,7
49,2,4,5,8,7,5
50,4,2,6,9,8,12
51,3,3,8,5,10,11
52,4,2,2,5,6,12
53,0,0,0,0,0,0
