week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,0,0,2,0,0,1
2,0,0,2,1,2,0
3,0,0,0,2,2,4
4,0,0,0,1,2,1
5,1,0,1,3,0,2
6,2,0,0,0,0,4
7,0,0,0,3,1,0
8,1,0,0,0,0,3
9,0,0,2,0,0,3
10,0,2,1,3,0,5
11,1,0,0,2,2,1
12,0,0,1,2,0,4
13,1,1,1,0,3,2
14,0,0,0,1,3,3
15,0,0,0,2,1,2
16,1,0,0,1,1,2
17,1,0,1,0,1,0
18,1,1,0,0,0,1
19,1,1,1,0,2,0
20,0,0,0,0,1,1
21,0,0,0,0,0,1
22,0,2,0,2,3,2
23,0,1,1,1,2,1
24,0,1,1,2,3,1
25,1,1,1,2,2,1
26,0,1,0,0,3,1
27,0,0,1,1,1,1
28,0,0,0,1,2,2
29,0,0,0,1,0,1
30,0,1,0,0,1,2
31,0,3,0,0,1,1
32,0,1,0,0,1,3
33,0,1,0,0,1,1
34,0,0,1,0,0,2
35,0,2,0,2,0,1
36,0,0,2,0,0,1
37,0,0,2,2,3,1
38,0,2,0,0,1,2
39,2,1,1,1,2,1
40,0,1,0,1,0,3
41,0,0,1,1,1,0
42,0,1,1,0,0,0
43,0,1,0,0,5,2
44,0,0,0,0,2,1
45,1,1,0,0,2,4
46,0,2,0,2,1,1
47,0,0,1,3,2,2
48,1,0,2,1,1,0
49,0,0,1,1,0,3
50,0,1,1,1,2,3
51,1,0,0,2,0,1
52,0,0,0,2,3,1
53,0,0,0,0,0,0
