week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,4,9,10,24,22,34
2,5,7,12,14,17,43
3,8,13,6,14,17,43
4,11,7,12,24,16,37
5,7,6,10,19,19,46
6,3,10,18,14,21,48
7,4,13,16,22,26,36
8,10,6,15,13,31,40
9,4,6,10,24,21,39
10,8,8,17,21,16,27
11,6,8,11,15,16,32
12,2,14,15,16,23,30
13,9,9,10,13,19,31
14,2,14,16,12,19,47
15,8,8,8,13,18,27
16,5,10,10,18,18,36
17,0,8,13,23,22,25
18,5,13,12,12,13,32
19,6,8,9,16,16,30
20,7,11,7,10,23,27
21,4,12,11,12,26,34
22,8,7,10,18,17,26
23,6,15,7,15,27,26
24,0,10,16,16,18,37
25,5,8,7,10,15,26
26,5,7,9,13,16,24
27,5,11,11,14,24,17
28,7,11,12,15,14,34
29,7,4,12,12,20,26
30,7,4,7,19,12,32
31,4,6,12,9,13,30
32,5,7,6,13,26,24
33,6,4,13,15,19,21
34,6,9,6,16,17,20
35,4,6,9,19,19,20
36,3,7,13,8,21,29
37,9,8,11,10,22,24
38,9,15,9,12,16,32
39,6,13,9,13,17,27
40,6,8,8,11,19,26
41,3,9,15,20,15,26
42,5,8,8,13,23,32
43,9,5,9,17,23,27
44,5,6,14,12,25,38
45,5,11,11,12,15,35
46,6,9,9,22,15,34
47,3,9,13,22,19,33
48,2,9,5,12,23,30
49,5,6,6,16,13,28
50,6,7,15,15,20,31
51,5,14,10,10,18,28
52,8,4,14,7,19,34
53,0,0,0,0,0,0
