week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49
1,6,0,0,3,5,2,3,4,10,16
2,7,1,0,1,6,9,4,5,8,19
3,7,1,0,1,6,3,5,2,13,9
4,7,2,1,0,0,3,2,5,8,13
5,3,1,1,3,1,2,3,2,6,12
6,6,1,1,0,3,3,2,4,6,17
7,8,0,0,2,6,3,3,4,11,15
8,6,3,0,1,2,4,3,3,7,13
9,5,1,1,1,3,5,7,6,12,11
10,4,0,1,1,4,5,8,6,4,18
11,8,0,0,2,1,3,2,5,7,6
12,8,3,0,1,3,1,3,5,5,15
13,8,1,1,2,4,3,6,4,5,14
14,5,2,1,2,3,3,5,2,3,17
15,3,0,1,1,3,2,5,6,3,14
16,6,0,2,0,1,4,2,6,11,11
17,3,1,0,2,2,2,2,10,3,11
18,2,0,2,0,2,1,5,6,6,10
19,5,1,1,1,2,3,6,5,12,13
20,5,0,0,2,2,2,6,8,8,13
21,12,1,0,1,3,3,7,9,9,17
22,3,0,0,0,4,3,2,10,11,16
23,10,0,1,1,5,3,4,5,15,6
24,4,0,1,1,2,5,5,2,10,15
25,12,1,1,0,5,4,3,4,9,17
26,9,1,0,1,2,3,2,3,6,13
27,4,0,0,0,3,5,3,6,11,11
28,6,0,0,1,1,6,2,3,9,17
29,4,1,1,0,2,2,2,5,5,15
30,10,0,0,2,2,3,2,4,6,14
31,9,2,0,1,4,5,4,5,12,11
32,7,0,1,3,5,9,5,7,5,14
33,3,2,0,1,4,3,6,1,9,12
34,12,1,1,3,1,3,3,8,9,15
35,8,0,0,1,3,2,2,7,4,13
36,3,0,0,1,2,1,6,5,7,8
37,7,1,1,4,1,2,5,5,10,8
38,6,1,1,3,4,3,0,7,12,16
39,7,1,0,3,2,0,4,7,8,13
40,6,0,0,1,5,1,3,7,4,11
41,7,1,0,1,6,5,1,3,8,15
42,4,0,1,2,3,3,5,6,5,14
43,5,0,0,3,4,2,2,9,7,16
44,3,0,0,2,2,3,3,4,10,10
45,4,0,1,1,3,2,6,2,12,10
46,3,1,0,0,4,3,7,4,7,12
47,4,1,1,2,0,2,4,7,13,18
48,3,0,0,1,1,1,5,4,9,12
49,6,0,0,3,2,4,5,3,11,15
50,6,3,0,1,2,1,3,5,8,11
51,8,1,0,1,2,4,4,8,9,11
52,10,0,2,2,3,3,3,10,5,7
53,0,0,0,0,0,0,0,0,0,0
