week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,0,1,0,0,0,1
2,0,1,0,4,3,3
3,1,0,1,1,0,2
4,1,1,1,2,1,2
5,0,0,0,1,1,4
6,1,1,0,1,1,1
7,0,0,0,3,1,5
8,2,1,0,2,0,0
9,0,0,1,1,3,0
10,1,0,0,2,2,2
11,1,1,0,0,2,0
12,0,1,2,0,1,1
13,0,0,0,0,1,2
14,0,1,1,4,2,3
15,0,0,0,1,2,1
16,1,2,3,0,1,2
17,0,0,0,2,0,2
18,0,0,0,0,0,1
19,0,0,0,0,0,5
20,0,1,1,0,3,2
21,0,0,1,0,0,3
22,0,0,1,1,0,2
23,1,1,0,0,3,2
24,0,0,0,2,0,3
25,0,0,1,0,1,1
26,0,0,0,0,1,0
27,0,1,0,0,0,0
28,1,0,0,1,2,2
29,1,2,0,0,1,1
30,1,1,0,1,2,0
31,0,0,1,1,0,1
32,0,0,0,1,0,2
33,0,1,0,0,0,0
34,0,0,1,2,2,3
35,0,0,1,1,1,0
36,0,0,0,2,1,1
37,0,2,0,0,4,0
38,0,0,1,0,0,3
39,0,0,1,0,0,1
40,1,0,1,1,0,0
41,0,0,1,1,1,1
42,1,1,1,1,2,3
43,0,0,1,0,4,1
44,0,0,1,1,1,0
45,1,0,0,2,2,3
46,1,1,1,1,0,4
47,1,2,1,2,3,6
48,0,0,2,7,4,2
49,0,2,1,0,3,1
50,0,1,1,1,1,2
51,1,0,2,1,1,1
52,1,1,0,0,2,5
53,0,0,1,4,4,1
