week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,0,1,0,1,0,0
2,0,2,0,0,0,1
3,0,0,1,0,0,1
4,0,0,0,0,0,1
5,0,0,1,0,1,0
6,0,0,0,1,0,0
7,1,0,1,0,0,0
8,0,0,0,0,0,2
9,0,0,0,2,1,1
10,0,0,0,1,0,0
11,0,0,0,1,0,0
12,0,0,0,0,0,0
13,0,0,0,0,1,1
14,0,0,0,0,1,0
15,0,2,0,0,0,1
16,0,1,0,0,2,0
17,0,0,1,2,1,0
18,0,0,0,0,1,0
19,0,0,0,0,0,2
20,0,1,0,0,1,0
21,0,0,0,1,0,0
22,0,0,0,0,0,1
23,0,0,0,1,0,2
24,0,0,0,1,0,0
25,1,0,0,0,0,1
26,0,0,0,0,1,0
27,0,1,1,1,2,0
28,0,0,1,1,0,0
29,1,0,0,0,0,1
30,0,0,0,0,0,1
31,0,0,1,1,1,2
32,0,0,0,0,2,0
33,0,0,0,0,0,1
34,0,0,0,1,0,1
35,0,0,0,0,0,0
36,0,0,0,0,2,2
37,0,1,1,0,2,3
38,0,1,0,0,0,0
39,0,0,0,0,1,0
40,0,0,1,1,0,1
41,0,0,0,0,1,1
42,0,0,0,0,1,1
43,1,0,0,1,0,1
44,0,1,0,1,1,1
45,0,1,0,0,0,2
46,0,0,0,2,2,3
47,0,1,0,0,1,1
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
