week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,1,0,0,0,0,0,2,0,0,0,0,4,1
2,0,0,0,0,0,0,0,1,0,1,1,2,3
3,0,0,0,0,0,0,0,0,0,0,1,0,4
4,0,0,0,0,0,0,0,0,0,0,0,1,1
5,0,0,0,0,0,0,0,0,0,1,0,4,3
6,0,0,0,0,0,0,0,0,1,0,0,0,3
7,0,0,0,1,0,0,1,0,0,0,0,1,2
8,0,0,0,0,0,0,0,0,0,0,1,0,1
9,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,1,0,0,3
11,0,0,0,0,0,0,0,0,0,1,1,1,0
12,0,0,0,0,0,0,0,0,0,0,1,1,2
13,0,0,0,0,0,0,0,0,0,0,0,2,1
14,0,0,0,0,0,0,1,0,0,0,1,0,2
15,0,0,0,0,0,0,0,0,0,0,0,2,4
16,1,0,0,0,0,0,1,0,0,1,0,0,4
17,0,0,0,0,0,0,0,0,0,0,0,0,3
18,0,0,0,0,0,0,0,0,0,0,1,0,0
19,0,0,0,0,0,0,1,0,0,3,0,1,1
20,0,0,0,0,0,1,0,0,1,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,2,0,0
22,0,0,0,0,0,0,0,1,0,0,1,1,2
23,0,0,0,0,0,0,1,0,1,0,0,1,4
24,0,0,0,0,0,0,0,0,0,0,1,0,1
25,0,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,0,0,0,0,0,0,0,0,0,1,3
27,0,0,0,0,0,0,0,0,0,1,1,0,1
28,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,1,0,1,0,1,0
30,0,0,0,0,0,0,0,0,0,1,0,1,0
31,0,0,0,0,0,0,0,0,1,0,0,2,0
32,0,0,0,0,0,0,0,0,0,0,0,1,0
33,0,0,0,0,0,0,0,0,0,1,1,2,1
34,0,0,0,0,0,0,0,1,0,0,0,0,3
35,0,0,0,0,0,0,0,0,0,0,0,2,1
36,0,0,0,0,0,0,0,0,0,0,1,1,0
37,0,0,0,0,0,0,0,0,0,0,0,3,2
38,0,0,1,0,0,0,0,0,0,0,0,1,0
39,0,0,0,0,0,0,0,0,0,1,1,0,2
40,0,0,0,0,0,0,0,0,0,0,0,1,3
41,0,0,0,0,0,0,0,0,0,0,0,1,1
42,0,0,0,0,0,0,0,0,1,0,0,2,3
43,0,0,0,0,0,0,0,0,0,0,1,2,1
44,0,0,0,0,0,0,0,0,0,0,1,0,0
45,0,0,0,0,0,0,1,0,1,0,0,0,1
46,0,0,0,0,0,1,1,0,0,0,0,0,1
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0
