week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,84,138,216,282,384,625
2,93,120,200,261,382,533
3,87,98,190,249,379,579
4,77,119,201,240,310,484
5,87,117,150,201,280,428
6,85,94,168,209,255,419
7,75,92,168,192,246,388
8,79,112,151,191,246,377
9,70,101,154,173,245,373
10,64,133,157,189,252,335
11,76,116,128,177,243,328
12,62,92,166,173,235,382
13,72,109,151,173,244,338
14,80,107,132,193,234,342
15,84,95,156,167,228,353
16,70,114,167,172,230,319
17,75,98,156,193,247,335
18,65,104,167,181,220,306
19,63,101,159,184,212,357
20,64,113,144,173,217,316
21,86,94,135,159,242,314
22,75,113,129,182,231,324
23,42,114,147,151,177,305
24,64,114,139,176,228,320
25,58,107,153,170,194,322
26,68,100,135,165,232,313
27,78,93,132,159,233,300
28,73,110,135,161,223,311
29,67,112,147,183,229,317
30,77,97,131,158,250,294
31,62,92,140,170,208,318
32,77,99,147,191,249,337
33,76,98,124,200,211,334
34,75,87,159,173,227,320
35,78,114,153,183,250,323
36,69,113,139,186,270,345
37,77,106,145,167,260,364
38,53,127,166,165,222,332
39,70,103,126,170,247,312
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
