week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,7,4,4,8,10,9
2,3,5,11,6,18,16
3,4,2,7,3,10,19
4,2,3,9,9,13,11
5,2,1,1,6,13,12
6,2,8,3,12,7,9
7,2,4,7,5,5,14
8,2,4,5,7,9,13
9,3,1,6,4,6,5
10,0,6,5,6,4,12
11,2,7,4,4,6,8
12,1,4,3,6,10,6
13,5,5,9,5,10,12
14,2,5,3,7,6,13
15,5,9,4,4,3,6
16,0,1,9,7,10,6
17,2,2,7,3,10,11
18,4,4,5,7,9,7
19,3,6,8,2,4,5
20,2,8,2,4,6,10
21,3,3,3,4,3,11
22,5,4,0,8,3,6
23,1,3,4,4,5,6
24,2,4,5,6,6,11
25,1,3,8,8,5,8
26,1,6,9,6,6,7
27,5,4,6,4,5,8
28,4,6,4,2,12,5
29,2,10,4,6,5,3
30,4,3,6,4,4,8
31,3,2,1,7,6,6
32,4,5,9,7,13,15
33,1,3,3,4,8,8
34,4,6,5,4,5,12
35,0,5,3,5,9,10
36,6,3,5,4,7,11
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
