week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,0,0,0,0,1,2,0
2,2,0,0,2,0,1,1,0,1,1,1,2,3
3,0,0,0,0,0,0,1,0,0,1,0,5,1
4,0,0,0,0,0,0,1,0,0,1,0,3,2
5,0,0,0,1,0,0,0,0,0,1,2,0,4
6,0,1,0,0,0,0,0,0,0,0,3,2,0
7,1,0,0,0,0,0,0,0,0,0,0,1,2
8,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,0,0,0,0,0,0,0,0,1,2,3,2
10,0,0,0,0,0,0,1,0,0,0,0,3,2
11,1,0,0,0,0,0,0,0,0,0,0,3,0
12,0,0,0,0,0,0,0,0,1,2,0,0,2
13,1,0,0,0,0,1,0,1,0,1,0,1,4
14,0,0,0,1,0,0,0,0,0,1,1,0,1
15,0,0,0,0,0,0,0,1,0,0,1,1,1
16,0,0,0,0,0,0,0,1,0,0,2,2,3
17,0,0,0,0,0,0,0,0,0,0,1,3,2
18,0,0,0,0,0,0,0,0,0,1,0,1,2
19,0,0,0,0,0,0,0,0,1,0,0,1,2
20,0,0,0,0,0,1,0,0,0,0,1,1,1
21,0,1,0,0,1,0,1,0,0,0,0,1,1
22,2,0,0,0,0,0,0,0,0,0,1,4,4
23,0,0,0,0,0,0,0,0,1,0,1,1,4
24,0,0,0,0,0,0,0,0,0,1,1,2,2
25,0,0,0,0,0,0,0,0,1,0,2,3,2
26,0,0,0,0,0,2,1,0,0,0,0,0,2
27,0,0,0,0,1,0,0,1,0,0,0,2,2
28,0,0,0,0,0,0,0,0,0,0,0,2,1
29,0,0,0,0,0,0,0,0,0,1,0,0,2
30,0,0,0,0,0,0,0,0,0,1,1,2,3
31,0,0,0,0,0,0,0,1,0,3,1,1,0
32,0,0,0,0,0,0,0,0,0,0,1,3,3
33,0,0,0,0,0,1,0,0,0,0,2,2,4
34,1,0,0,0,0,0,0,0,0,1,2,4,5
35,0,0,0,0,0,0,1,0,0,2,1,0,4
36,0,0,0,0,0,0,0,1,1,0,0,3,1
37,0,0,0,0,0,0,0,0,0,2,2,0,1
38,0,0,0,0,0,0,1,0,0,0,0,2,3
39,0,0,0,0,1,0,1,0,0,0,0,0,3
40,1,0,0,0,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0
