week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,1,1,2,3,5,2
2,0,1,2,4,5,2
3,0,0,4,2,6,5
4,2,1,4,3,3,4
5,1,0,2,1,2,3
6,0,0,0,1,1,3
7,1,1,3,0,1,2
8,1,0,1,0,3,1
9,0,0,0,2,0,4
10,2,2,1,1,0,4
11,1,0,4,2,0,0
12,0,1,0,1,0,1
13,0,1,0,0,1,0
14,1,1,0,0,1,0
15,1,0,0,0,1,2
16,0,0,2,3,2,2
17,1,1,2,1,3,1
18,0,1,1,2,2,1
19,1,0,1,3,1,0
20,1,0,1,0,1,2
21,0,0,1,2,1,0
22,0,1,1,1,1,2
23,0,0,0,0,2,2
24,1,1,2,1,1,0
25,0,0,0,0,3,1
26,0,1,2,1,1,2
27,1,0,2,1,0,1
28,1,3,1,2,0,0
29,0,1,1,1,0,2
30,0,1,0,2,0,0
31,0,3,0,0,3,3
32,0,1,4,0,0,1
33,0,1,0,1,3,0
34,1,1,1,3,0,0
35,1,2,2,1,3,1
36,1,1,2,1,2,5
37,2,0,0,3,4,4
38,0,0,1,3,3,1
39,0,1,2,5,4,3
40,0,1,0,0,2,2
41,0,1,1,1,1,2
42,1,1,1,0,1,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
