week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,5,1,3,5,9,17
2,0,4,9,6,9,8
3,1,4,5,4,6,13
4,2,5,8,4,9,6
5,2,6,2,7,12,8
6,2,4,3,3,4,8
7,5,2,2,6,4,6
8,2,1,5,9,8,11
9,1,2,0,5,4,14
10,2,7,3,6,4,10
11,0,2,2,2,7,6
12,2,3,4,5,9,8
13,1,2,3,3,7,5
14,1,3,4,2,6,7
15,0,2,3,5,8,9
16,0,5,7,3,6,6
17,2,0,4,4,9,13
18,3,3,2,6,5,8
19,3,4,2,4,9,14
20,2,4,1,1,5,5
21,4,5,4,5,5,4
22,3,1,3,4,9,8
23,1,0,3,4,7,8
24,3,3,2,4,13,4
25,1,5,7,1,4,7
26,2,3,6,3,11,6
27,3,2,3,1,14,7
28,2,3,2,3,8,9
29,3,5,3,10,5,14
30,3,4,2,2,6,8
31,1,2,3,4,10,7
32,6,2,7,7,5,5
33,0,3,3,6,6,13
34,2,2,5,6,5,7
35,2,2,7,7,5,11
36,2,4,7,2,13,8
37,0,0,3,3,7,9
38,0,0,6,4,7,7
39,3,3,5,3,4,9
40,3,4,1,2,8,8
41,2,5,8,8,10,5
42,1,6,3,5,6,7
43,1,1,1,5,5,8
44,1,3,3,5,7,9
45,6,4,0,4,11,12
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
