week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,0,0,0,0,2,1,5
2,0,0,0,0,0,0,1,2,0,0,1,8,7
3,0,0,0,2,0,0,0,2,0,0,1,0,3
4,0,0,0,0,0,0,0,0,0,0,0,3,5
5,0,0,0,0,0,2,0,1,0,1,0,2,4
6,1,0,0,0,0,0,0,1,0,0,3,1,2
7,0,0,0,0,0,0,0,0,0,0,0,3,3
8,1,0,0,0,0,1,1,0,0,2,2,0,4
9,0,0,0,0,0,1,1,0,0,0,0,4,6
10,0,0,0,0,0,0,0,0,0,1,1,1,4
11,2,0,0,0,1,1,0,0,1,2,0,1,5
12,0,0,0,0,0,0,0,0,0,0,1,3,3
13,0,0,0,0,0,0,0,1,0,0,0,1,3
14,0,0,0,0,1,0,0,1,1,2,3,4,2
15,0,0,0,0,0,0,0,0,1,0,0,2,4
16,1,0,0,0,0,0,0,0,1,2,1,1,1
17,0,0,0,1,1,0,0,0,0,1,0,2,8
18,1,0,0,0,0,1,0,0,0,0,2,1,1
19,0,0,0,0,0,0,0,0,1,0,1,3,3
20,0,0,0,0,0,0,0,1,2,2,2,3,2
21,0,0,0,0,0,0,0,0,1,1,2,2,3
22,2,0,0,0,0,1,0,1,0,2,0,3,4
23,0,0,0,0,1,0,0,0,0,1,4,1,7
24,0,0,1,0,0,0,0,0,0,0,1,4,3
25,1,0,0,0,0,2,0,0,1,0,1,4,3
26,1,0,0,0,1,1,1,1,1,0,2,1,2
27,0,0,0,0,0,0,0,0,0,2,3,1,3
28,0,0,0,0,0,0,0,0,0,0,2,2,4
29,1,0,0,0,0,1,0,0,1,1,2,5,3
30,0,0,0,1,0,0,0,0,0,2,0,3,6
31,0,0,0,0,0,0,0,0,0,1,1,4,4
32,0,0,0,0,0,1,0,1,3,2,0,5,5
33,0,0,0,0,0,0,0,0,0,3,2,3,1
34,0,0,0,0,0,0,0,0,0,0,0,5,1
35,1,0,0,0,0,0,0,0,1,1,1,2,6
36,1,0,0,1,0,0,0,0,0,2,0,0,3
37,0,0,0,0,0,0,1,0,0,1,0,2,1
38,1,0,0,0,0,0,0,1,2,0,1,4,2
39,1,0,0,0,1,0,1,0,1,0,2,3,3
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0
