week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,0,0,0,0,0,2,1
2,0,0,0,0,0,0,1,0,0,0,1,1,2
3,0,0,0,0,1,0,1,1,0,1,1,5,3
4,0,0,0,0,0,0,1,0,0,2,1,1,0
5,0,0,0,0,0,0,0,0,0,3,1,1,0
6,0,0,0,0,0,0,0,0,0,1,2,0,4
7,0,0,0,0,0,0,0,0,0,0,0,1,3
8,0,0,0,0,1,0,0,0,1,1,0,1,4
9,1,0,0,0,0,0,0,1,0,1,0,2,2
10,0,0,1,0,0,0,0,0,0,1,0,3,2
11,0,0,0,1,0,0,0,0,0,0,2,1,2
12,1,0,0,0,0,0,0,0,0,0,0,2,5
13,0,0,0,0,0,0,0,1,0,1,1,0,3
14,2,0,0,0,0,0,0,0,0,1,0,2,2
15,0,0,0,0,1,0,1,0,1,2,0,1,6
16,0,0,0,0,0,1,1,0,0,0,0,3,5
17,0,0,0,0,0,1,1,0,0,1,2,2,2
18,0,0,0,0,0,1,0,0,0,0,2,1,5
19,1,0,0,0,0,0,0,0,2,1,1,2,3
20,0,0,0,0,0,0,0,0,0,0,2,4,1
21,0,0,1,0,0,0,0,0,0,0,1,6,5
22,0,0,0,0,0,0,0,0,0,1,0,1,1
23,0,0,0,0,0,1,0,0,0,0,2,2,2
24,0,0,0,0,0,0,0,1,0,2,0,2,1
25,2,0,0,0,1,0,0,1,0,1,0,1,3
26,0,0,0,0,0,0,1,0,1,0,0,0,1
27,0,0,0,0,0,0,0,1,0,1,2,1,4
28,0,0,0,0,0,0,1,0,0,1,2,1,0
29,0,0,0,0,0,0,0,0,0,1,4,1,3
30,0,0,0,0,0,0,0,0,0,0,0,6,1
31,0,0,0,0,0,0,1,1,1,1,0,1,2
32,0,0,0,0,0,0,0,1,0,1,1,2,2
33,1,0,0,0,0,1,0,0,0,1,3,0,3
34,0,0,0,0,0,1,0,1,0,1,2,4,2
35,0,0,0,0,0,0,2,1,0,0,1,2,5
36,0,0,0,0,0,0,0,2,0,2,3,0,1
37,1,0,0,0,0,0,0,0,0,1,2,3,2
38,0,0,0,0,0,0,0,0,0,0,0,1,1
39,0,0,1,1,0,0,0,1,0,0,3,1,2
40,1,0,0,0,0,1,0,2,0,0,1,1,3
41,0,0,0,0,0,0,1,0,2,1,1,1,4
42,0,0,0,0,1,1,0,0,0,0,1,0,5
43,0,0,0,0,0,0,0,0,0,1,1,1,2
44,0,0,0,0,0,0,0,0,0,0,0,3,6
45,0,0,0,0,0,0,0,0,0,0,1,0,3
46,0,0,0,0,0,0,0,0,0,0,0,2,1
47,1,0,0,0,0,0,0,0,0,0,2,1,1
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0
