week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,15,20,37,42,62,106
2,12,16,37,45,66,108
3,16,15,32,40,68,103
4,9,13,33,35,47,90
5,18,24,26,40,49,79
6,17,18,26,41,48,82
7,14,20,26,35,40,60
8,10,21,21,30,35,53
9,7,19,22,30,29,70
10,8,22,27,45,41,56
11,12,16,28,28,43,70
12,8,10,25,20,37,58
13,15,17,26,33,47,61
14,9,16,28,36,49,57
15,13,11,23,33,38,57
16,14,13,25,34,32,55
17,17,18,23,35,44,52
18,9,12,21,32,33,52
19,12,18,24,29,38,55
20,9,13,23,35,36,59
21,16,13,24,30,39,55
22,10,14,18,37,38,57
23,7,18,23,17,30,49
24,17,19,17,31,36,57
25,13,27,27,34,24,62
26,8,13,21,34,35,47
27,12,17,21,27,40,59
28,8,18,25,28,32,63
29,9,17,27,23,34,68
30,9,11,27,27,45,51
31,11,16,22,31,47,51
32,15,12,19,36,50,48
33,11,25,22,33,34,66
34,9,12,30,33,36,49
35,16,21,24,42,47,61
36,6,15,30,31,52,61
37,17,17,27,30,50,64
38,14,18,21,33,41,59
39,14,22,21,31,40,59
40,8,18,22,32,40,55
41,12,14,28,36,40,47
42,13,17,26,22,27,56
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
