week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,0,3,2,9,16,32
2,0,8,5,7,8,24
3,3,4,5,11,6,18
4,1,4,3,9,18,16
5,1,3,4,9,8,14
6,3,2,4,5,8,19
7,4,0,7,11,16,15
8,1,5,4,10,10,18
9,3,5,8,5,13,12
10,4,4,6,10,10,18
11,2,4,10,9,16,21
12,2,4,5,10,14,22
13,1,6,9,6,10,24
14,0,5,7,15,9,17
15,1,6,4,8,11,16
16,3,3,5,3,13,13
17,2,1,7,4,9,9
18,1,4,8,5,13,12
19,2,1,7,4,9,14
20,1,3,7,9,12,13
21,3,4,9,5,7,15
22,0,6,2,5,13,20
23,4,3,6,7,8,17
24,1,1,4,5,11,13
25,2,2,10,7,14,12
26,2,4,5,6,9,20
27,0,4,3,11,16,19
28,7,2,3,15,15,10
29,3,5,7,11,19,17
30,5,3,9,10,24,19
31,2,4,6,7,12,17
32,2,3,5,5,10,16
33,1,0,8,9,9,13
34,1,4,3,5,9,7
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
