week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,0,0,0,3,1,2,1
2,1,0,0,0,0,0,0,0,0,0,0,0,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,0,0,3,4
5,0,0,0,0,0,0,0,0,0,0,1,2,2
6,0,0,0,0,0,0,0,0,0,0,3,2,2
7,0,0,0,0,0,0,0,0,0,1,2,2,5
8,0,0,0,0,0,0,0,0,0,0,0,2,1
9,0,0,0,0,0,0,0,0,1,0,0,3,1
10,2,0,0,0,0,0,0,0,1,0,0,2,0
11,1,0,0,0,0,0,0,0,1,0,0,4,0
12,0,0,0,0,0,0,0,0,0,0,0,1,5
13,0,0,0,0,0,0,0,1,0,0,0,1,4
14,0,0,0,1,0,0,0,0,0,0,2,1,2
15,0,0,0,0,0,0,0,0,0,0,2,1,2
16,0,0,0,0,0,0,0,0,0,0,1,1,1
17,0,0,0,0,0,0,0,0,0,0,1,3,1
18,0,0,0,0,0,0,0,0,0,0,0,2,2
19,0,0,0,0,1,0,0,0,0,1,0,2,2
20,0,0,0,0,0,0,0,0,0,0,0,2,1
21,0,0,0,0,0,0,1,0,0,0,0,0,1
22,0,0,0,0,1,0,0,1,0,1,3,0,2
23,0,0,0,0,0,0,0,0,0,0,0,0,2
24,0,0,0,0,0,0,0,0,1,0,2,0,1
25,0,0,0,0,0,0,0,0,0,0,0,2,1
26,0,0,0,1,0,1,2,0,0,0,1,2,3
27,0,0,0,0,0,0,0,0,0,0,1,0,3
28,0,0,0,0,0,0,0,0,0,0,1,1,1
29,0,0,0,0,0,0,0,0,0,0,0,1,3
30,1,0,0,0,0,0,1,0,0,0,0,2,2
31,0,0,0,0,1,0,0,0,0,1,0,5,3
32,0,0,0,0,1,1,0,0,0,2,2,0,2
33,1,0,0,0,0,0,0,0,0,0,2,1,3
34,0,0,0,0,0,0,0,1,0,0,0,1,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0
