week,Y0T4,Y5T9,Y10T14,Y15T19,Y20T24,Y25T29,Y30T34,Y35T39,Y40T44,Y45T49,Y50T54,Y55T59,Y60T64
1,0,0,0,0,0,0,0,3,1,0,1,2,2
2,0,0,0,0,0,0,0,1,1,0,2,0,5
3,0,0,0,0,0,0,0,1,1,1,2,2,2
4,1,0,0,0,0,0,0,0,0,1,1,3,6
5,0,0,0,0,0,0,1,1,0,1,2,2,0
6,1,0,0,0,0,0,0,0,0,1,1,3,4
7,0,0,0,0,0,0,0,1,0,0,0,2,7
8,0,0,0,0,0,0,0,0,1,0,0,1,4
9,0,0,0,0,0,0,0,1,0,2,2,0,5
10,0,0,0,0,0,0,1,0,0,0,1,5,0
11,0,0,0,0,0,1,0,1,1,2,0,1,2
12,0,0,0,0,0,0,0,0,0,1,1,1,0
13,1,1,0,0,0,0,0,0,0,1,0,1,0
14,0,0,0,0,0,0,0,0,2,1,2,1,6
15,0,0,0,0,0,0,0,0,2,1,2,2,0
16,0,0,0,0,0,0,0,0,1,0,0,1,4
17,0,0,0,0,0,1,0,0,0,0,2,1,2
18,2,0,0,0,1,0,0,2,0,0,0,0,0
19,1,0,0,0,1,0,0,0,0,1,0,5,3
20,0,0,0,0,0,0,0,0,0,0,0,4,2
21,1,0,0,0,0,0,1,1,0,0,2,2,0
22,0,0,0,0,0,0,0,1,0,1,2,7,2
23,0,0,0,0,0,1,0,0,1,1,2,1,3
24,0,0,0,0,0,0,0,0,2,2,0,0,4
25,0,0,0,0,0,0,0,0,1,0,2,3,1
26,0,1,0,0,1,1,0,0,1,0,1,2,2
27,0,0,0,0,0,0,0,0,0,0,1,1,0
28,0,0,0,0,0,0,0,1,0,4,5,1,2
29,0,0,0,0,0,0,0,0,0,1,0,2,2
30,0,0,0,0,0,0,0,1,1,0,0,1,1
31,0,0,0,0,0,0,0,0,2,0,1,3,2
32,0,0,0,0,0,0,0,0,0,0,0,2,1
33,1,0,0,0,0,0,0,1,0,1,0,1,3
34,0,0,0,0,0,1,0,0,0,0,0,1,2
35,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0
