week,Y65T69,Y70T74,Y75T79,Y80T84,Y85T89,Y_GE90
1,4,4,8,6,6,13
2,3,3,5,9,9,19
3,3,4,4,7,4,9
4,2,3,2,10,11,15
5,1,6,3,6,8,22
6,1,4,10,5,9,17
7,3,8,6,4,16,27
8,2,3,9,5,6,20
9,2,7,4,7,14,21
10,0,3,10,13,10,19
11,3,3,7,5,8,21
12,2,5,4,9,14,12
13,5,6,8,5,7,21
14,5,3,5,5,13,12
15,0,5,6,9,15,11
16,3,3,3,9,5,14
17,2,4,3,3,6,15
18,6,4,3,6,7,10
19,3,4,3,8,5,13
20,4,1,7,8,6,7
21,1,2,4,9,6,8
22,1,1,5,4,16,12
23,2,3,8,3,5,10
24,3,4,7,7,7,18
25,3,2,5,8,6,20
26,2,6,6,9,6,12
27,1,2,5,5,9,7
28,3,5,4,7,9,16
29,1,2,9,6,12,12
30,1,2,6,7,10,15
31,3,3,4,1,7,20
32,3,2,6,6,14,12
33,3,3,8,6,11,12
34,4,3,3,8,9,11
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
