week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,1,0,1,0,0,0,1
10,0,0,1,0,0,1,3,1,2
11,0,0,0,0,0,2,2,0,4
12,0,0,1,2,5,5,5,16,10
13,0,1,3,2,3,12,17,14,14
14,1,1,1,1,5,4,7,7,11
15,0,1,0,1,0,3,3,3,3
16,0,1,2,1,0,1,2,3,3
17,0,1,0,0,0,0,1,1,1
18,0,0,0,1,0,1,1,1,1
19,0,0,0,0,0,0,0,2,2
20,0,0,0,0,0,0,0,1,2
21,0,0,0,1,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,1,0,0
25,0,0,1,0,0,0,1,0,1
26,0,0,0,0,0,0,1,0,0
27,0,0,0,0,0,1,4,0,0
28,0,0,0,0,0,2,0,1,0
29,0,0,0,0,0,0,0,1,1
30,0,0,0,0,0,0,2,2,0
31,0,0,0,0,0,1,0,0,1
32,0,0,0,1,0,0,1,3,0
33,1,0,0,0,0,1,1,1,0
34,0,0,0,0,1,0,1,1,0
35,0,0,1,0,0,0,0,0,3
36,0,0,0,0,0,0,0,2,1
37,0,0,0,0,3,0,0,1,1
38,0,0,1,2,1,4,4,4,4
39,0,0,0,0,0,1,3,5,4
40,0,0,0,0,3,3,2,4,4
41,0,1,0,0,3,1,3,16,7
42,0,1,1,0,1,5,13,18,28
43,1,0,0,2,8,16,16,41,53
44,0,1,0,4,6,10,24,62,69
45,2,0,1,6,9,26,35,54,58
46,2,1,1,6,7,21,20,53,57
47,2,0,0,4,7,13,23,46,46
48,0,0,2,1,6,16,22,25,63
49,0,1,0,3,4,12,15,40,49
50,0,3,0,2,4,17,22,47,60
51,2,1,2,0,3,5,18,36,50
52,0,1,1,1,4,16,26,26,41
53,0,0,1,5,9,17,21,41,58
