week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,1,0,1,0,0,1,0
10,0,0,0,0,0,1,0,1,0
11,0,0,0,2,0,0,2,6,1
12,1,0,1,2,3,8,5,11,9
13,0,0,0,2,2,8,5,9,8
14,3,0,1,0,1,4,7,8,12
15,0,0,3,0,1,3,4,6,3
16,0,0,0,0,2,4,0,1,3
17,0,0,1,1,0,0,0,0,2
18,0,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,0,1
20,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,1,0,0
27,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,1,0,0
30,0,0,0,0,0,1,0,0,0
31,0,0,0,0,0,1,0,0,0
32,0,0,0,0,0,0,0,1,0
33,0,0,0,0,2,0,0,0,0
34,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,1,0,0
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,1,1,0,0,1
38,1,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,1
41,0,0,0,0,1,2,0,2,2
42,0,0,2,0,0,1,3,5,6
43,0,0,0,1,1,3,6,4,4
44,0,0,4,0,2,5,2,7,11
45,0,0,0,0,5,3,5,10,11
46,0,0,1,1,0,6,10,16,17
47,3,0,0,0,5,4,11,13,20
48,1,0,1,4,1,3,6,8,18
49,1,0,0,0,2,3,5,9,14
50,1,0,1,0,2,4,5,5,16
51,0,0,1,1,1,2,7,13,24
52,2,0,0,1,2,3,2,9,19
53,0,0,0,2,4,4,4,11,14
