week,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,2,0,6,8,3,6,3,6,8
10,1,1,6,4,11,14,14,17,21
11,3,2,13,13,23,33,33,71,65
12,7,5,18,32,50,118,125,158,184
13,1,10,23,28,79,179,211,274,271
14,6,6,13,20,44,101,131,182,237
15,1,4,19,13,27,51,64,105,148
16,0,2,9,12,15,35,40,67,103
17,0,3,3,6,6,19,31,33,80
18,5,0,3,4,4,7,11,24,30
19,0,2,0,3,1,4,9,12,28
20,0,0,1,2,1,5,7,14,19
21,0,3,0,2,0,3,8,6,15
22,1,0,3,2,5,3,2,3,3
23,0,0,0,0,0,0,2,4,0
24,0,0,0,0,1,3,1,1,3
25,0,0,2,0,1,0,6,1,9
26,1,0,3,1,0,4,3,2,4
27,0,0,8,1,5,4,12,5,4
28,1,1,1,3,4,7,17,10,5
29,0,1,1,5,3,2,9,7,5
30,0,1,1,2,5,7,27,15,6
31,1,3,7,1,4,13,14,9,4
32,1,1,1,3,6,13,11,10,6
33,3,0,5,4,7,6,15,6,4
34,2,1,2,4,11,6,12,4,6
35,0,1,2,0,5,7,8,8,9
36,0,0,6,2,6,6,10,21,15
37,0,1,4,1,10,11,24,14,30
38,2,1,1,5,6,13,16,25,31
39,1,0,1,0,8,14,22,29,29
40,1,1,1,5,9,24,20,33,53
41,0,5,4,11,18,29,34,72,76
42,6,3,7,12,23,63,85,144,197
43,6,7,11,28,60,119,173,292,332
44,12,7,20,27,65,157,258,400,497
45,14,4,13,26,63,184,291,440,538
46,11,5,18,35,52,181,253,410,542
47,14,2,11,23,63,131,229,368,524
48,12,2,14,24,55,126,217,308,478
49,11,2,12,28,58,110,218,290,446
50,11,7,12,26,54,153,221,312,418
51,15,5,7,21,40,112,198,306,479
52,13,2,13,18,52,106,195,322,408
53,10,4,14,21,57,141,169,297,409
